,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
19819,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
19820,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
19821,1,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed
19822,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
19823,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
19825,3,5-7 years,2 - 4 years,College degree,Woman,Advertising,bad payed
19826,1,5-7 years,2 - 4 years,PhD,Man,Technology & Science,bad payed
19827,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
19828,2,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
19829,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed
19830,1,2 - 4 years,2 - 4 years,College degree,Man,Unidentified,bad payed
19831,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,well payed
19832,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,bad payed
19834,0,8 - 10 years,5-7 years,Master's degree,Woman,Industry,well payed
19836,3,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,well payed
19837,2,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
19838,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
19840,1,11 - 20 years,11 - 20 years,College degree,Man,Health,well payed
19841,0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
19842,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed
19843,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
19844,1,2 - 4 years,2 - 4 years,College degree,Man,Industry,bad payed
19845,0,1 year or less,1 year or less,Master's degree,Woman,Industry,well payed
19846,3,11 - 20 years,5-7 years,College degree,Woman,Health,well payed
19847,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
19849,0,8 - 10 years,1 year or less,Some college,Woman,Non profit Organization,bad payed
19851,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,very well payed
19852,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed
19853,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
19854,0,1 year or less,1 year or less,Master's degree,Woman,Industry,very well payed
19855,1,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man,Law,well payed
19856,0,5-7 years,2 - 4 years,Master's degree,Man,Advertising,well payed
19857,1,21 - 30 years,21 - 30 years,College degree,Man,Unidentified,well payed
19858,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
19859,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
19860,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
19862,0,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,well payed
19863,2,11 - 20 years,5-7 years,Master's degree,Man,Public & Government,well payed
19864,0,8 - 10 years,5-7 years,PhD,Woman,Education,well payed
19865,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
19866,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed
19867,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed
19868,0,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,well payed
19869,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Industry,very well payed
19870,0,11 - 20 years,8 - 10 years,Some college,Woman,Other,bad payed
19871,1,5-7 years,2 - 4 years,Some college,Man,Culture,well payed
19873,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
19874,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
19875,3,21 - 30 years,31 - 40 years,College degree,Woman,Advertising,well payed
19876,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
19877,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
19878,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,very well payed
19879,0,21 - 30 years,21 - 30 years,Master's degree,Man,Non profit Organization,well payed
19880,2,21 - 30 years,8 - 10 years,Some college,Woman,Public & Government,well payed
19881,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
19882,3,11 - 20 years,8 - 10 years,PhD,Woman,Technology & Science,well payed
19883,1,2 - 4 years,2 - 4 years,High School,Man,Technology & Science,well payed
19884,0,8 - 10 years,1 year or less,College degree,Woman,Education,bad payed
19885,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
19886,1,11 - 20 years,11 - 20 years,College degree,Man,Other,well payed
19887,2,5-7 years,5-7 years,College degree,Woman,Public & Government,bad payed
19889,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
19890,2,5-7 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
19891,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
19892,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
19893,0,11 - 20 years,8 - 10 years,PhD,Woman,Education,well payed
19894,3,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,bad payed
19895,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
19896,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
19897,0,2 - 4 years,2 - 4 years,Master's degree,Man,Health,bad payed
19898,1,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,well payed
19899,1,1 year or less,1 year or less,College degree,Non-binary,Unidentified,bad payed
19900,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed
19901,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
19902,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,very well payed
19903,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
19904,3,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed
19905,1,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,very well payed
19906,1,2 - 4 years,5-7 years,College degree,Non-binary,Technology & Science,very well payed
19907,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
19908,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
19910,0,2 - 4 years,2 - 4 years,Master's degree,Man,Education,bad payed
19912,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,bad payed
19913,3,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed
19914,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,bad payed
19915,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
19916,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,very well payed
19917,3,2 - 4 years,2 - 4 years,College degree,Woman,Law,bad payed
19918,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
19919,0,5-7 years,5-7 years,Master's degree,Man,Health,well payed
19920,2,2 - 4 years,2 - 4 years,Some college,Woman,Public & Government,well payed
19922,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
19923,2,8 - 10 years,5-7 years,College degree,Woman,Public & Government,well payed
19924,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
19925,0,2 - 4 years,1 year or less,Master's degree,Man,Other,bad payed
19926,0,11 - 20 years,11 - 20 years,Some college,Woman,Health,bad payed
19927,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
19928,1,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,Other,bad payed
19929,2,2 - 4 years,1 year or less,College degree,Woman,Public & Government,bad payed
19930,1,21 - 30 years,21 - 30 years,College degree,Man,Industry,well payed
19931,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
19932,0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed
19933,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,well payed
19934,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
19935,0,11 - 20 years,11 - 20 years,Master's degree,Man,Non profit Organization,well payed
19936,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
19937,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
19939,3,5-7 years,2 - 4 years,College degree,Woman,Culture,well payed
19940,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Culture,bad payed
19942,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,very well payed
19943,0,8 - 10 years,5-7 years,Some college,Woman,Non profit Organization,bad payed
19945,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
19946,3,21 - 30 years,21 - 30 years,College degree,Woman,Consulting,very well payed
19947,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
19948,0,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,well payed
19949,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed
19950,0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,well payed
19952,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
19953,3,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
19954,0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed
19955,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed
19956,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
19957,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
19958,3,21 - 30 years,11 - 20 years,College degree,Woman,Consulting,well payed
19959,2,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,bad payed
19960,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
19961,3,5-7 years,5-7 years,College degree,Woman,Industry,very well payed
19962,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,well payed
19963,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
19964,3,8 - 10 years,8 - 10 years,College degree,Woman,Health,bad payed
19965,3,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
19966,0,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed
19967,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
19969,3,11 - 20 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
19970,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed
19971,0,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed
19973,0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
19974,1,5-7 years,31 - 40 years,College degree,Man,Culture,well payed
19975,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
19976,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed
19977,1,11 - 20 years,11 - 20 years,College degree,Man,Education,very well payed
19978,1,5-7 years,1 year or less,College degree,Prefer not to answer,Non profit Organization,bad payed
19979,1,5-7 years,5-7 years,College degree,Non-binary,Technology & Science,well payed
19980,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
19982,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
19983,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
19984,0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
19985,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
19986,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,bad payed
19987,0,11 - 20 years,11 - 20 years,Some college,Woman,Other,bad payed
19988,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
19990,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,very well payed
19991,1,11 - 20 years,11 - 20 years,College degree,Non-binary,Unidentified,well payed
19992,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Health,well payed
19993,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
19994,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
19995,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
19996,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed
19997,2,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,bad payed
19998,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,bad payed
19999,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
20001,0,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,very well payed
20002,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
20003,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed
20004,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,very well payed
20005,3,21 - 30 years,5-7 years,College degree,Woman,Advertising,well payed
20006,3,21 - 30 years,21 - 30 years,College degree,Woman,Other,well payed
20007,3,21 - 30 years,11 - 20 years,PhD,Woman,Technology & Science,very well payed
20008,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Advertising,very well payed
20009,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
20011,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,very well payed
20012,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
20013,0,2 - 4 years,1 year or less,Master's degree,Woman,Technology & Science,very well payed
20014,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
20015,1,2 - 4 years,1 year or less,College degree,Man,Health,bad payed
20017,3,8 - 10 years,2 - 4 years,College degree,Woman,Law,bad payed
20019,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
20020,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20021,1,8 - 10 years,8 - 10 years,Some college,Man,Law,bad payed
20022,0,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,well payed
20023,1,21 - 30 years,21 - 30 years,High School,Man,Banking & Insurance,well payed
20025,3,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
20026,0,2 - 4 years,1 year or less,Some college,Woman,Unidentified,bad payed
20027,0,5-7 years,2 - 4 years,PhD,Non-binary,Industry,well payed
20028,0,11 - 20 years,2 - 4 years,Some college,Woman,Health,well payed
20030,0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed
20031,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed
20032,3,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,well payed
20033,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
20034,0,5-7 years,5-7 years,Master's degree,Woman,Unidentified,well payed
20035,3,5-7 years,2 - 4 years,College degree,Woman,Culture,well payed
20036,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
20037,3,5-7 years,5-7 years,College degree,Woman,Unidentified,well payed
20038,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed
20039,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
20040,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
20041,2,31 - 40 years,31 - 40 years,Some college,Woman,Public & Government,bad payed
20042,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
20043,0,1 year or less,1 year or less,PhD,Woman,Industry,well payed
20044,1,31 - 40 years,21 - 30 years,Some college,Man,Industry,well payed
20045,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20046,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
20047,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
20048,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
20050,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed
20051,0,31 - 40 years,11 - 20 years,College degree,Woman,Education,well payed
20052,1,2 - 4 years,2 - 4 years,College degree,Non-binary,Technology & Science,very well payed
20053,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
20054,1,5-7 years,5-7 years,College degree,Man,Other,well payed
20055,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
20056,1,21 - 30 years,11 - 20 years,College degree,Man,Advertising,very well payed
20057,3,11 - 20 years,5-7 years,College degree,Woman,Health,bad payed
20058,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20059,1,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Other,bad payed
20060,3,5-7 years,5-7 years,College degree,Woman,Health,well payed
20061,3,11 - 20 years,5-7 years,College degree,Woman,Industry,well payed
20062,0,8 - 10 years,8 - 10 years,Some college,Woman,Law,well payed
20063,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20064,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
20065,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
20066,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,well payed
20068,1,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,very well payed
20069,0,5-7 years,1 year or less,PhD,Woman,Education,well payed
20070,0,8 - 10 years,5-7 years,Master's degree,Non-binary,Education,bad payed
20072,1,5-7 years,5-7 years,Some college,Man,Unidentified,well payed
20074,1,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,bad payed
20075,1,2 - 4 years,2 - 4 years,College degree,Man,Other,well payed
20076,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
20077,3,21 - 30 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
20078,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,well payed
20079,0,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed
20080,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
20081,3,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
20082,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,very well payed
20084,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed
20086,0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Law,very well payed
20087,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
20088,1,11 - 20 years,11 - 20 years,High School,Man,Industry,well payed
20089,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
20090,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
20091,0,11 - 20 years,2 - 4 years,Some college,Woman,Education,bad payed
20093,0,5-7 years,5-7 years,Master's degree,Man,Education,bad payed
20094,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
20095,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
20096,0,2 - 4 years,1 year or less,Master's degree,Woman,Non profit Organization,bad payed
20097,3,5-7 years,2 - 4 years,College degree,Woman,Health,well payed
20098,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20099,0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,well payed
20100,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
20101,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,bad payed
20102,0,2 - 4 years,2 - 4 years,PhD,Woman,Industry,well payed
20103,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20105,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
20106,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
20108,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,bad payed
20109,2,21 - 30 years,21 - 30 years,Master's degree,Man,Public & Government,very well payed
20110,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
20111,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
20112,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
20113,0,5-7 years,2 - 4 years,PhD,Woman,Industry,well payed
20114,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Health,very well payed
20116,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,very well payed
20117,3,11 - 20 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
20118,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
20119,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed
20120,3,11 - 20 years,8 - 10 years,College degree,Woman,Health,well payed
20121,0,2 - 4 years,1 year or less,Master's degree,Man,Culture,bad payed
20122,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed
20123,1,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,well payed
20124,3,31 - 40 years,21 - 30 years,College degree,Woman,Health,well payed
20125,1,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
20126,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
20127,0,21 - 30 years,21 - 30 years,Master's degree,Man,Consulting,very well payed
20128,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,bad payed
20129,1,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,well payed
20130,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
20131,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
20132,2,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed
20134,0,5-7 years,1 year or less,Master's degree,Woman,Technology & Science,bad payed
20135,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,bad payed
20136,1,21 - 30 years,11 - 20 years,College degree,Man,Banking & Insurance,very well payed
20137,3,5-7 years,2 - 4 years,College degree,Woman,Advertising,well payed
20138,3,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed
20139,1,21 - 30 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20140,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Health,bad payed
20141,2,8 - 10 years,5-7 years,College degree,Woman,Public & Government,well payed
20143,3,21 - 30 years,11 - 20 years,College degree,Woman,Consulting,very well payed
20144,1,11 - 20 years,11 - 20 years,College degree,Man,Health,very well payed
20145,0,21 - 30 years,21 - 30 years,Master's degree,Man,Industry,very well payed
20146,3,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed
20147,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
20148,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Industry,well payed
20149,1,11 - 20 years,5-7 years,College degree,Man,Technology & Science,well payed
20150,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
20151,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20152,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
20153,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
20155,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed
20156,1,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,bad payed
20157,1,2 - 4 years,2 - 4 years,College degree,Man,Industry,well payed
20158,3,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed
20160,0,11 - 20 years,5-7 years,Master's degree,Woman,Unidentified,well payed
20161,3,2 - 4 years,2 - 4 years,College degree,Woman,Culture,bad payed
20162,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,well payed
20163,0,2 - 4 years,2 - 4 years,PhD,Woman,Other,well payed
20164,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
20165,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
20166,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
20167,1,21 - 30 years,11 - 20 years,Some college,Man,Unidentified,very well payed
20168,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
20170,1,21 - 30 years,11 - 20 years,Some college,Man,Technology & Science,bad payed
20171,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed
20172,3,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
20173,3,11 - 20 years,8 - 10 years,College degree,Woman,Health,bad payed
20174,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20175,3,8 - 10 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
20176,0,5-7 years,5-7 years,Master's degree,Woman,Culture,bad payed
20177,0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
20178,0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Industry,very well payed
20179,3,1 year or less,1 year or less,College degree,Woman,Law,bad payed
20180,2,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,very well payed
20181,0,8 - 10 years,31 - 40 years,Some college,Woman,Industry,well payed
20183,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
20184,1,11 - 20 years,11 - 20 years,High School,Man,Health,well payed
20185,3,2 - 4 years,2 - 4 years,College degree,Woman,Law,well payed
20186,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
20187,0,11 - 20 years,11 - 20 years,Some college,Woman,Industry,well payed
20188,1,8 - 10 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20189,1,2 - 4 years,1 year or less,College degree,Non-binary,Consulting,bad payed
20190,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
20191,0,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
20192,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
20194,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
20195,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,well payed
20196,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
20197,3,11 - 20 years,8 - 10 years,College degree,Woman,Unidentified,very well payed
20199,2,11 - 20 years,11 - 20 years,Master's degree,Man,Public & Government,very well payed
20200,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,very well payed
20201,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
20202,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
20203,3,8 - 10 years,8 - 10 years,College degree,Woman,Industry,well payed
20204,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
20206,3,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed
20207,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
20208,2,11 - 20 years,1 year or less,College degree,Woman,Public & Government,well payed
20209,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20210,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20211,3,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed
20212,1,8 - 10 years,8 - 10 years,College degree,Man,Education,bad payed
20214,2,11 - 20 years,5-7 years,Master's degree,Man,Public & Government,well payed
20217,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
20218,1,11 - 20 years,8 - 10 years,College degree,Man,Non profit Organization,well payed
20219,1,21 - 30 years,8 - 10 years,College degree,Non-binary,Technology & Science,well payed
20220,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
20221,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Technology & Science,well payed
20222,3,2 - 4 years,2 - 4 years,College degree,Woman,Unidentified,bad payed
20223,1,5-7 years,2 - 4 years,College degree,Non-binary,Technology & Science,well payed
