,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
20932,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,45000.0,0.7241059704950954
20933,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
20934,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,90000.0,1.4482119409901908
20936,2,25-34,5-7 years,5-7 years,College degree,Woman,Health,bad payed,45000.0,0.7241059704950954
20937,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,86600.0,1.393501712108339
20938,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Education,bad payed,50000.0,0.8045621894389949
20939,1,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,well payed,98000.0,1.57694189130043
20940,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,80000.0,1.287299503102392
20941,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,well payed,89000.0,1.4321206972014109
20942,2,25-34,8 - 10 years,1 year or less,College degree,Non-binary,Consulting,bad payed,35360.0,0.5689863803712571
20943,5,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,59250.0,1.411520869068039
20944,0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Technology & Science,well payed,185000.0,2.976880100924281
20945,1,35-44,11 - 20 years,2 - 4 years,College degree,Man,Unidentified,bad payed,53000.0,0.8528359208053345
20946,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Industry,well payed,80000.0,1.287299503102392
20947,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,150000.0,2.413686568316985
20948,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,well payed,125000.0,2.0114054735974873
20949,1,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Non profit Organization,well payed,75000.0,1.2068432841584924
20951,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,85000.0,1.3677557220462913
20952,0,45-54,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,65520.0,1.7080648188700496
20953,0,25-34,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
20954,1,35-44,11 - 20 years,11 - 20 years,College degree,Non-binary,Culture,well payed,88200.0,2.29931802540199
20955,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed,165000.0,2.655055225148683
20956,0,35-44,21 - 30 years,21 - 30 years,High School,Man,Technology & Science,well payed,118570.0,2.9635683792727674
20957,1,45-54,21 - 30 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,37000.0,0.5953760201848562
20958,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,135000.0,2.1723179114852864
20960,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Industry,well payed,80000.0,1.287299503102392
20961,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,well payed,68000.0,1.094204577637033
20962,5,25-34,8 - 10 years,5-7 years,High School,Woman,Consulting,well payed,125000.0,2.417589218712527
20963,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,well payed,82729.6,1.0397136594880456
20964,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,180000.0,2.8964238819803816
20965,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,175000.0,2.8159676630364823
20966,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,145000.0,2.333230349373085
20967,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed,55000.0,0.8850184083828944
20968,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Law,well payed,145000.0,2.333230349373085
20969,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,98000.0,1.57694189130043
20970,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,91000.0,1.4643031847789707
20971,5,55-64,21 - 30 years,5-7 years,College degree,Woman,Industry,well payed,72000.0,1.1585695527921527
20972,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,88732.8,2.113893653516295
20973,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,141000.0,2.2688653742179654
20974,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,81900.0,2.135081023587562
20975,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,well payed,120000.0,1.9309492546535878
20976,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,154000.0,2.4780515434721044
20978,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,140000.0,2.2527741304291857
20979,1,35-44,21 - 30 years,5-7 years,Some college,Woman,Public & Government,well payed,61060.0,1.1809439815566953
20980,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Banking & Insurance,well payed,141000.0,2.2688653742179654
20983,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed,16000.0,0.25745990062047835
20984,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,88000.0,1.416029453412631
20985,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Consulting,well payed,125000.0,2.0114054735974873
20986,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,100674.0,2.624507288994557
20988,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
20989,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,97020.0,2.5292498279421887
20990,5,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,60350.0,1.1672120747944081
20991,1,35-44,11 - 20 years,8 - 10 years,College degree,Man,Unidentified,well payed,64260.0,1.675217418507164
20992,4,45-54,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed,144000.0,2.3171391055843054
20994,0,35-44,11 - 20 years,5-7 years,Some college,Man,Technology & Science,well payed,145000.0,2.333230349373085
20995,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed,159000.0,2.5585077624160038
20996,0,35-44,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,well payed,174000.0,2.799876419247702
20998,4,25-34,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed,82680.0,1.808731262961699
20999,1,35-44,21 - 30 years,8 - 10 years,College degree,Non-binary,Industry,well payed,128000.0,2.059679204963827
21000,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,96000.0,1.5447594037228702
21001,1,18-24,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,91000.0,1.4643031847789707
21003,2,25-34,5-7 years,2 - 4 years,Some college,Man,Banking & Insurance,well payed,64130.0,1.4029261719125998
21004,0,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,116000.0,1.8665842794984682
21005,0,25-34,5-7 years,5-7 years,Master's degree,Man,Technology & Science,well payed,74200.0,1.6232203641963965
21007,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Technology & Science,well payed,100800.0,2.6277920290308456
21008,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Culture,well payed,207900.0,5.419821059876119
21009,2,25-34,2 - 4 years,2 - 4 years,PhD,Prefer not to answer,Consulting,well payed,170000.0,2.7355114440925825
21010,5,25-34,5-7 years,5-7 years,College degree,Man,Banking & Insurance,well payed,60000.0,1.2202562538133008
21012,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Industry,bad payed,46150.0,0.892573939548665
21013,1,55-64,31 - 40 years,11 - 20 years,College degree,Woman,Health,well payed,70875.0,1.8476662704123132
21014,1,55-64,31 - 40 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,70875.0,1.8476662704123132
21015,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Culture,well payed,70000.0,1.1263870652145929
21016,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed,79500.0,1.0209742791536316
21017,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,75000.0,1.2068432841584924
21018,0,45-54,21 - 30 years,11 - 20 years,PhD,Woman,Technology & Science,well payed,135000.0,3.4727581416885323
21019,0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,well payed,65000.0,1.0459308462706933
21020,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,well payed,140000.0,2.2527741304291857
21021,1,35-44,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,well payed,50778.0,1.3237502346242884
21023,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Education,bad payed,46500.0,0.7482428361782653
21024,0,55-64,31 - 40 years,8 - 10 years,College degree,Woman,Consulting,well payed,74000.0,1.1907520403697125
21025,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Culture,well payed,74200.0,1.1740209108630162
21026,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,50805.72,1.3244728774322718
21027,2,45-54,8 - 10 years,2 - 4 years,College degree,Woman,Public & Government,well payed,56880.0,1.3550600343053174
21028,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,well payed,62500.0,1.0057027367987437
21029,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Unidentified,well payed,148000.0,2.381504080739425
21032,1,35-44,11 - 20 years,1 year or less,High School,Woman,Banking & Insurance,bad payed,43000.0,0.6919234829175356
21033,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,36676.0,0.5803017645122909
21034,2,25-34,2 - 4 years,5-7 years,College degree,Woman,Health,well payed,93000.0,1.4964856723565305
21035,0,55-64,21 - 30 years,8 - 10 years,Some college,Woman,Public & Government,well payed,80000.0,1.287299503102392
21036,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,well payed,120000.0,1.9309492546535878
21037,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Prefer not to answer,Public & Government,bad payed,31500.0,0.8211850090721392
21038,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,137600.0,2.214155145336114
21040,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,bad payed,48960.0,0.7878272958986638
21041,2,25-34,8 - 10 years,8 - 10 years,College degree,Man,Health,well payed,104000.0,1.6734893540331093
21042,0,55-64,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,95000.0,1.5286681599340903
21043,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Health,well payed,66780.0,1.7409122192329352
21044,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,97000.0,1.5608506475116501
21045,1,35-44,21 - 30 years,2 - 4 years,Some college,Man,Law,well payed,67600.0,1.087768080121521
21047,2,25-34,1 year or less,1 year or less,College degree,Non-binary,Industry,bad payed,26208.0,0.6832259275480198
21048,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,68571.0,1.1033926778404264
21049,2,25-34,11 - 20 years,11 - 20 years,College degree,Man,Health,well payed,65000.0,1.0459308462706933
21050,4,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,110000.0,1.7700368167657887
21051,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Industry,well payed,101000.0,1.6252156226667698
21052,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,130000.0,2.0918616925413867
21054,0,25-34,1 year or less,1 year or less,Master's degree,Woman,Consulting,bad payed,56000.0,0.9011096521716743
21055,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,126000.0,2.027496717386267
21056,0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Banking & Insurance,bad payed,32240.0,0.5187816997502639
21057,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,150000.0,2.413686568316985
21058,2,25-34,5-7 years,2 - 4 years,College degree,Man,Industry,well payed,75000.0,1.2068432841584924
21059,4,25-34,5-7 years,1 year or less,College degree,Non-binary,Technology & Science,well payed,95000.0,1.5286681599340903
21060,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,80940.0,2.0230347020185357
21061,4,25-34,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed,145000.0,2.333230349373085
21062,4,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,75050.0,1.7879264341528494
21063,0,45-54,21 - 30 years,8 - 10 years,College degree,Non-binary,Industry,bad payed,26860.0,0.6398894606441776
21064,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,138000.0,2.220591642851626
21065,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,93000.0,1.4964856723565305
21066,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,158000.0,2.542416518627224
21068,0,25-34,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,148000.0,2.381504080739425
21070,0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Technology & Science,well payed,75000.0,1.2068432841584924
21071,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,65000.0,1.0459308462706933
21072,1,45-54,31 - 40 years,11 - 20 years,Some college,Man,Public & Government,well payed,63310.62,1.0017249563302195
21073,5,25-34,31 - 40 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,57195.0,0.9203386884992663
21074,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,90000.0,1.4482119409901908
21075,0,35-44,8 - 10 years,8 - 10 years,Some college,Man,Health,well payed,72000.0,1.1585695527921527
21076,1,45-54,21 - 30 years,11 - 20 years,Some college,Man,Banking & Insurance,well payed,71820.0,1.8723018206844775
21077,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,120000.0,1.9309492546535878
21078,0,45-54,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,well payed,97500.0,1.56889626940604
21079,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Culture,well payed,63900.0,1.2358716086058439
21080,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,126000.0,3.284740036288557
21081,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,75000.0,1.2068432841584924
21082,5,25-34,1 year or less,1 year or less,College degree,Man,Non profit Organization,well payed,69500.0,1.1183414433202028
21083,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,well payed,132900.0,2.1385262995288485
21084,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,bad payed,56000.0,0.9011096521716743
21085,3,35-44,11 - 20 years,11 - 20 years,High School,Woman,Education,bad payed,42000.0,0.6758322391287557
21086,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,186000.0,2.992971344713061
21087,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,well payed,140000.0,2.2527741304291857
21088,2,25-34,2 - 4 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed,38480.0,0.6191910609922505
21089,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed,112140.0,2.9234186322968156
21090,0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,bad payed,61000.0,0.9815658711155738
21091,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,42900.0,0.6903143585386576
21092,5,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,65000.0,1.0459308462706933
21093,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,170000.0,2.7355114440925825
21094,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,160000.0,2.574599006204784
21095,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed,96304.0,1.5496511418346592
21096,1,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Consulting,bad payed,45000.0,0.7241059704950954
21097,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,133510.0,3.1806270249666477
21098,1,35-44,21 - 30 years,11 - 20 years,College degree,Man,Health,well payed,82500.0,1.3275276125743416
21099,0,35-44,2 - 4 years,8 - 10 years,PhD,Woman,Technology & Science,well payed,135000.0,2.1723179114852864
21100,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed,68000.0,1.094204577637033
21102,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,68730.0,1.637364208118925
21104,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,50000.0,0.8045621894389949
21105,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed,73130.0,1.414386396515577
21106,0,35-44,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,well payed,75000.0,5.109548724656639
21107,1,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed,50500.0,0.8126078113333849
21108,0,45-54,31 - 40 years,21 - 30 years,Master's degree,Woman,Non profit Organization,well payed,85000.0,1.3677557220462913
21109,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed,67000.0,1.0781133338482531
21110,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,44000.0,0.7080147267063155
21111,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,96720.0,1.5563450992507917
21113,1,18-24,1 year or less,1 year or less,College degree,Woman,Consulting,well payed,87000.0,1.399938209623851
21114,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,97000.0,1.5608506475116501
21115,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed,136000.0,2.188409155274066
21116,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,bad payed,54000.0,0.8689271645941145
21117,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Culture,bad payed,46000.0,0.7401972142838753
21119,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,bad payed,53000.0,0.8528359208053345
21120,2,25-34,5-7 years,1 year or less,College degree,Non-binary,Health,bad payed,50336.0,0.8099688473520249
21121,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,well payed,90000.0,1.4482119409901908
21122,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Health,well payed,38574.9,1.0056231621097418
21123,5,25-34,5-7 years,5-7 years,College degree,Woman,Other,bad payed,50000.0,0.8045621894389949
21125,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,57000.0,0.9172008959604542
21126,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,105000.0,1.6895805978218892
21127,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Man,Health,well payed,93000.0,1.4964856723565305
21128,0,25-34,8 - 10 years,5-7 years,Master's degree,Man,Technology & Science,well payed,71000.0,1.1424783090033728
21129,3,35-44,11 - 20 years,5-7 years,Master's degree,Man,Advertising,well payed,140000.0,2.2527741304291857
21130,4,25-34,5-7 years,2 - 4 years,College degree,Man,Technology & Science,well payed,63000.0,1.6423700181442784
21131,0,45-54,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man,Technology & Science,well payed,168000.0,2.7033289565150227
21132,2,25-34,8 - 10 years,2 - 4 years,College degree,Man,Non profit Organization,bad payed,31924.62,0.8322545829944317
21133,0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Technology & Science,well payed,105000.0,1.6895805978218892
21134,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Industry,well payed,84000.0,1.3516644782575113
21135,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,96000.0,1.5447594037228702
21136,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,103000.0,1.6573981102443296
21137,0,25-34,8 - 10 years,5-7 years,PhD,Man,Technology & Science,well payed,75970.0,1.4693140235647255
21138,2,25-34,2 - 4 years,1 year or less,College degree,Woman,Culture,bad payed,47000.0,0.7562884580726552
21140,0,25-34,5-7 years,5-7 years,PhD,Man,Technology & Science,well payed,75970.0,1.4693140235647255
21141,5,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,105000.0,1.6895805978218892
21142,5,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,115000.0,1.8504930357096883
21143,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Unidentified,well payed,180000.0,2.8964238819803816
21144,1,35-44,5-7 years,5-7 years,PhD,Man,Industry,well payed,115000.0,1.8504930357096883
21145,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,86600.0,1.393501712108339
21146,3,35-44,5-7 years,2 - 4 years,Master's degree,Man,Industry,well payed,130000.0,2.0918616925413867
21147,5,25-34,5-7 years,5-7 years,College degree,Man,Banking & Insurance,well payed,140000.0,2.2527741304291857
21149,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Man,Technology & Science,well payed,99910.0,1.2556302909653938
21150,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Advertising,well payed,121000.0,1.9470404984423677
21153,3,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,82000.0,1.3194819906799515
21154,0,25-34,11 - 20 years,8 - 10 years,College degree,Man,Industry,well payed,100000.0,1.6091243788779899
21155,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,well payed,53000.0,2.011598955486731
21156,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,well payed,125000.0,2.0114054735974873
21157,1,45-54,31 - 40 years,31 - 40 years,College degree,Woman,Banking & Insurance,well payed,110000.0,1.7700368167657887
21158,0,35-44,8 - 10 years,8 - 10 years,Some college,Woman,Health,bad payed,41600.0,0.6693957416132438
21160,0,35-44,21 - 30 years,8 - 10 years,Some college,Woman,Non profit Organization,bad payed,57000.0,0.9172008959604542
21161,2,25-34,8 - 10 years,8 - 10 years,College degree,Man,Health,well payed,75000.0,1.2068432841584924
21162,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Law,well payed,70200.0,1.1296053139723488
21163,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Education,well payed,81500.0,1.3114363687855617
21164,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,65000.0,1.0459308462706933
21165,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed,86110.0,2.0514103297122164
21166,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,62500.0,1.0057027367987437
21167,0,25-34,11 - 20 years,5-7 years,Master's degree,Man,Advertising,well payed,101028.0,1.6256661774928556
21169,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,70000.0,1.1263870652145929
21170,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Other,bad payed,57000.0,0.9172008959604542
21171,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Unidentified,well payed,69600.0,1.1199505676990809
21172,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
21173,0,35-44,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Technology & Science,well payed,100000.0,1.6091243788779899
21174,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Other,well payed,125000.0,2.0114054735974873
21175,0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Banking & Insurance,well payed,80940.0,1.5654373709007356
21177,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
21178,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,38000.0,0.6114672639736362
21179,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,73140.0,1.6000315018507338
21180,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
21181,1,35-44,11 - 20 years,5-7 years,College degree,Man,Industry,well payed,90000.0,1.4482119409901908
21182,3,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed,51000.0,0.8206534332277748
21184,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed,115000.0,1.8504930357096883
21185,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,102601.0,1.6509777039726063
21186,2,18-24,2 - 4 years,2 - 4 years,High School,Woman,Consulting,bad payed,35360.0,0.5689863803712571
21188,1,35-44,21 - 30 years,21 - 30 years,PhD,Woman,Industry,well payed,95600.0,1.5383229062073582
21190,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,138000.0,2.220591642851626
21191,1,18-24,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,48000.0,0.7723797018614351
21192,4,25-34,11 - 20 years,5-7 years,College degree,Man,Technology & Science,bad payed,62000.0,0.9976571149043537
21193,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Industry,bad payed,62000.0,0.9976571149043537
21194,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,94500.0,2.4635550272164175
21195,5,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,32000.0,0.5149198012409567
21196,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,82939.0,1.334591668597616
21197,0,25-34,5-7 years,1 year or less,PhD,Woman,Industry,well payed,113000.0,1.8183105481321284
21198,0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Industry,well payed,31800.0,1.2069593732920385
21199,2,45-54,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,49920.0,0.8032748899358925
21200,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,well payed,77086.0,1.2404096187018872
21202,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Health,well payed,156000.0,2.5102340310496642
21203,0,35-44,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,59566.0,1.419048980369735
21204,0,18-24,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed,104500.0,1.6815349759274993
21205,4,25-34,11 - 20 years,2 - 4 years,Some college,Man,Technology & Science,well payed,117000.0,1.882675523287248
21206,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,133000.0,2.1401354239077266
21207,3,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed,86500.0,1.3918925877294612
21208,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Culture,bad payed,50000.0,0.8045621894389949
21209,5,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,52000.0,0.8367446770165546
21210,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,127000.0,2.043587961175047
21211,0,25-34,8 - 10 years,8 - 10 years,Some college,Man,Other,bad payed,26000.0,0.4183723385082773
21212,1,35-44,11 - 20 years,1 year or less,College degree,Woman,Non profit Organization,well payed,62500.0,1.0057027367987437
21214,4,25-34,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,35500.0,0.5712391545016864
