,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
17965,25-34,0.8888803068922015,55240.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,55240.0
17966,35-44,0.9172008959604542,57000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,57000.0
17967,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,College degree,Woman,Health,110000.0
17969,18-24,0.7080147267063155,44000.0,1 year or less,1 year or less,College degree,Woman,Non profit Organization,44000.0
17970,35-44,0.9091552740660642,56500.0,11 - 20 years,5-7 years,Some college,Woman,Banking & Insurance,56500.0
17972,55-64,0.6758322391287557,42000.0,21 - 30 years,2 - 4 years,College degree,Prefer not to answer,Public & Government,42000.0
17974,18-24,1.7813006874179347,110700.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,110700.0
17975,25-34,0.7241059704950954,45000.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,45000.0
17976,35-44,1.8504930357096883,115000.0,11 - 20 years,11 - 20 years,College degree,Non-binary,Culture,115000.0
17977,25-34,2.0918616925413867,130000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,130000.0
17978,35-44,1.1987976622641023,74500.0,21 - 30 years,21 - 30 years,Some college,Man,Education,74500.0
17979,18-24,0.8045621894389949,50000.0,1 year or less,1 year or less,College degree,Woman,Non profit Organization,50000.0
17980,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,150000.0
17981,25-34,1.1585695527921527,72000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,72000.0
17982,35-44,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,College degree,Man,Culture,160000.0
17983,25-34,2.494142787260884,155000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,155000.0
17984,35-44,0.9654746273267939,60000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,60000.0
17986,25-34,1.9309492546535878,120000.0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,120000.0
17987,25-34,0.7723797018614351,48000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,48000.0
17988,35-44,2.655055225148683,165000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,165000.0
17989,25-34,1.0057027367987437,62500.0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,62500.0
17990,25-34,1.3033907468911716,81000.0,8 - 10 years,2 - 4 years,College degree,Woman,Non profit Organization,81000.0
17991,18-24,1.3677557220462913,85000.0,1 year or less,1 year or less,College degree,Man,Technology & Science,85000.0
17992,25-34,1.3677557220462913,85000.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,85000.0
17993,35-44,130.61650992685475,100000.0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,100000.0
17994,35-44,1.071088727458398,78000.0,5-7 years,5-7 years,PhD,Woman,Education,55380.0
17995,55-64,1.8504930357096883,115000.0,41 years or more,11 - 20 years,College degree,Man,Health,115000.0
17996,45-54,1.6413068664555497,102000.0,21 - 30 years,21 - 30 years,College degree,Woman,Public & Government,102000.0
17998,25-34,1.0459308462706933,65000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,65000.0
18000,25-34,2.574599006204784,160000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,160000.0
18001,35-44,2.333230349373085,145000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,145000.0
18002,18-24,1.4482119409901908,90000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,90000.0
18003,35-44,2.7355114440925825,170000.0,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,170000.0
18004,25-34,2.6228727375711234,163000.0,8 - 10 years,5-7 years,College degree,Woman,Consulting,163000.0
18005,45-54,1.0394943487551813,64600.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,64600.0
18006,35-44,2.2527741304291857,140000.0,11 - 20 years,5-7 years,Master's degree,Woman,Other,140000.0
18007,45-54,1.0057027367987437,62500.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,62500.0
18008,35-44,2.8159676630364823,175000.0,21 - 30 years,8 - 10 years,Some college,Man,Technology & Science,175000.0
18009,35-44,1.1585695527921527,72000.0,11 - 20 years,11 - 20 years,PhD,Woman,Education,72000.0
18011,35-44,2.655055225148683,165000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,165000.0
18012,35-44,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,100000.0
18013,35-44,2.0918616925413867,130000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,130000.0
18014,35-44,2.526325274838444,157000.0,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,157000.0
18015,35-44,1.287299503102392,80000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,80000.0
18016,25-34,1.9309492546535878,120000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,120000.0
18017,18-24,0.8702144640972169,54080.0,5-7 years,2 - 4 years,Some college,Woman,Industry,54080.0
18018,25-34,1.4803944285677506,92000.0,8 - 10 years,2 - 4 years,College degree,Woman,Consulting,92000.0
18019,25-34,1.0620220900594732,66000.0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,66000.0
18020,25-34,1.287299503102392,80000.0,2 - 4 years,1 year or less,College degree,Woman,Health,80000.0
18021,25-34,0.8286990551221648,51500.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,51500.0
18022,35-44,1.6091243788779899,100000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,100000.0
18023,35-44,1.9309492546535878,120000.0,8 - 10 years,5-7 years,PhD,Woman,Technology & Science,120000.0
18024,45-54,1.0620220900594732,66000.0,11 - 20 years,2 - 4 years,College degree,Man,Law,66000.0
18025,25-34,1.399938209623851,87000.0,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,87000.0
18026,25-34,2.1240441801189465,132000.0,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,132000.0
18027,25-34,0.49882855745217686,31000.0,8 - 10 years,8 - 10 years,Some college,Woman,Health,31000.0
18029,35-44,2.0114054735974873,125000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,125000.0
18031,25-34,1.890721145181638,117500.0,8 - 10 years,1 year or less,Master's degree,Woman,Other,117500.0
18032,25-34,2.9125151257691617,181000.0,8 - 10 years,8 - 10 years,College degree,Man,Unidentified,181000.0
18033,25-34,1.6091243788779899,100000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,100000.0
18034,25-34,0.6024561674519193,37440.0,8 - 10 years,2 - 4 years,College degree,Woman,Health,37440.0
18035,35-44,2.7355114440925825,170000.0,21 - 30 years,11 - 20 years,College degree,Woman,Non profit Organization,170000.0
18036,45-54,0.643649751551196,40000.0,21 - 30 years,8 - 10 years,Some college,Woman,Consulting,40000.0
18037,35-44,0.8206534332277748,51000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,51000.0
18038,45-54,1.2797789212883552,68000.0,21 - 30 years,11 - 20 years,College degree,Woman,Advertising,53720.0
18039,25-34,1.3355732344687314,83000.0,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,83000.0
18040,25-34,1.6895805978218892,105000.0,5-7 years,5-7 years,Master's degree,Woman,Advertising,105000.0
18041,25-34,1.1263870652145929,70000.0,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,70000.0
18042,35-44,1.5286681599340903,95000.0,11 - 20 years,5-7 years,Some college,Man,Technology & Science,95000.0
18043,45-54,2.1562266676965063,134000.0,21 - 30 years,8 - 10 years,College degree,Woman,Technology & Science,134000.0
18044,25-34,1.9309492546535878,120000.0,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Technology & Science,120000.0
18045,35-44,1.3355732344687314,83000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,83000.0
18047,35-44,1.287299503102392,80000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,80000.0
18048,25-34,1.3677557220462913,85000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,85000.0
18049,35-44,0.9332921397492341,58000.0,11 - 20 years,11 - 20 years,College degree,Woman,Health,58000.0
18051,35-44,1.2068432841584924,75000.0,8 - 10 years,2 - 4 years,Master's degree,Man,Non profit Organization,75000.0
18052,18-24,0.45917973275662316,28536.0,11 - 20 years,5-7 years,High School,Man,Technology & Science,28536.0
18054,45-54,1.6573981102443296,103000.0,21 - 30 years,5-7 years,Master's degree,Woman,Health,103000.0
18055,25-34,1.0137483586931335,63000.0,2 - 4 years,2 - 4 years,College degree,Man,Law,63000.0
18056,35-44,1.8022193043433485,112000.0,11 - 20 years,11 - 20 years,PhD,Woman,Education,112000.0
18057,25-34,1.3731906762287156,100000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,71000.0
18058,45-54,1.2229345279472723,76000.0,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,76000.0
18059,25-34,1.1263870652145929,70000.0,8 - 10 years,2 - 4 years,College degree,Woman,Health,70000.0
18060,35-44,1.1907520403697125,74000.0,21 - 30 years,21 - 30 years,Some college,Non-binary,Technology & Science,74000.0
18061,45-54,1.4803944285677506,92000.0,21 - 30 years,2 - 4 years,College degree,Woman,Health,92000.0
18062,25-34,1.287299503102392,80000.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Law,80000.0
18063,35-44,0.9654746273267939,60000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,60000.0
18064,25-34,1.4643031847789707,91000.0,5-7 years,2 - 4 years,College degree,Woman,Industry,91000.0
18065,45-54,1.2551170155248321,78000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,78000.0
18067,35-44,2.6348389555936724,140000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,110600.0
18068,45-54,2.6228727375711234,163000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,163000.0
18069,25-34,0.643649751551196,40000.0,5-7 years,5-7 years,College degree,Man,Public & Government,40000.0
18070,25-34,1.5286681599340903,95000.0,2 - 4 years,8 - 10 years,Master's degree,Woman,Health,95000.0
18071,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,120000.0
18072,25-34,1.2390257717360522,77000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,77000.0
18073,25-34,1.2068432841584924,75000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,75000.0
18074,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,150000.0
18075,25-34,1.2068432841584924,75000.0,8 - 10 years,8 - 10 years,College degree,Woman,Health,75000.0
18076,25-34,2.365412836950645,147000.0,11 - 20 years,5-7 years,Some college,Man,Technology & Science,147000.0
18077,25-34,1.6573981102443296,103000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,103000.0
18078,25-34,0.9252465178548441,57500.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,57500.0
18079,25-34,2.075770448752607,129000.0,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,129000.0
18081,45-54,0.8850184083828944,55000.0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,55000.0
18082,45-54,1.3114363687855617,81500.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,81500.0
18083,25-34,1.3677557220462913,85000.0,8 - 10 years,2 - 4 years,College degree,Woman,Industry,85000.0
18084,25-34,0.4344635822970572,27000.0,5-7 years,1 year or less,High School,Woman,Banking & Insurance,27000.0
18085,18-24,0.6919234829175356,43000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,43000.0
18086,25-34,2.314894225271584,123000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,97170.0
18087,25-34,1.287299503102392,80000.0,5-7 years,5-7 years,College degree,Woman,Health,80000.0
18088,25-34,1.1746607965809326,73000.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,73000.0
18089,25-34,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,120000.0
18090,35-44,2.523621945881929,156832.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,156832.0
18091,25-34,1.6091243788779899,100000.0,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,100000.0
18092,35-44,1.4682133570196443,91243.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,91243.0
18093,35-44,1.4723488066733608,91500.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Education,91500.0
18094,35-44,1.737854329188229,108000.0,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,108000.0
18096,25-34,2.54073756432247,135000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,106650.0
18097,25-34,1.1746607965809326,73000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,73000.0
18098,25-34,1.3516644782575113,84000.0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,84000.0
18100,35-44,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,PhD,Woman,Public & Government,90000.0
18102,25-34,2.413686568316985,150000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,150000.0
18103,25-34,0.788470945650215,49000.0,8 - 10 years,2 - 4 years,College degree,Woman,Advertising,49000.0
18105,25-34,1.6091243788779899,100000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,100000.0
18106,25-34,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,120000.0
18107,25-34,1.2390257717360522,77000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,77000.0
18108,25-34,1.9363542513921042,58950.0,8 - 10 years,8 - 10 years,College degree,Man,Industry,74277.0
18109,35-44,1.3838469658350712,86000.0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,86000.0
18110,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Consulting,150000.0
18111,35-44,2.5585077624160038,159000.0,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,159000.0
18112,25-34,2.1723179114852864,135000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,135000.0
18113,25-34,2.326186392224128,123600.0,5-7 years,5-7 years,College degree,Man,Technology & Science,97644.0
18114,35-44,1.1856775300171527,63000.0,11 - 20 years,5-7 years,Master's degree,Woman,Education,49770.0
18115,45-54,1.8022193043433485,112000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,112000.0
18116,35-44,2.574599006204784,160000.0,8 - 10 years,8 - 10 years,PhD,Man,Technology & Science,160000.0
18117,35-44,1.9309492546535878,120000.0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,120000.0
18118,25-34,2.4619602996833243,153000.0,11 - 20 years,5-7 years,College degree,Man,Unidentified,153000.0
18119,35-44,2.5327617723539557,157400.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,157400.0
18122,25-34,0.9976571149043537,62000.0,2 - 4 years,2 - 4 years,College degree,Non-binary,Public & Government,62000.0
18123,35-44,2.494142787260884,155000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,155000.0
18125,35-44,1.8263561700265185,113500.0,8 - 10 years,8 - 10 years,Some college,Man,Banking & Insurance,113500.0
18126,25-34,1.2430485826832471,77250.0,5-7 years,5-7 years,College degree,Woman,Industry,77250.0
18127,25-34,0.45216395046471514,28100.0,5-7 years,5-7 years,Some college,Non-binary,Other,28100.0
18128,45-54,2.574599006204784,160000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,160000.0
18129,25-34,2.0114054735974873,125000.0,2 - 4 years,2 - 4 years,PhD,Woman,Education,125000.0
18130,35-44,0.5149198012409567,32000.0,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Law,32000.0
18131,35-44,1.4643031847789707,91000.0,5-7 years,2 - 4 years,College degree,Man,Technology & Science,91000.0
18134,35-44,2.719420200303803,169000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,169000.0
18135,25-34,1.4482119409901908,90000.0,11 - 20 years,5-7 years,Some college,Man,Technology & Science,90000.0
18136,25-34,1.7700368167657887,110000.0,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Law,110000.0
18137,35-44,2.1723179114852864,135000.0,11 - 20 years,8 - 10 years,Some college,Man,Health,135000.0
18138,35-44,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,College degree,Man,Public & Government,160000.0
18139,45-54,1.3838469658350712,86000.0,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Non profit Organization,86000.0
18140,25-34,2.5585077624160038,159000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,159000.0
18142,35-44,0.0,70000.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,74200.0
18143,35-44,2.992971344713061,186000.0,11 - 20 years,21 - 30 years,Some college,Woman,Technology & Science,186000.0
18144,35-44,2.1723179114852864,135000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,135000.0
18145,35-44,1.3677557220462913,85000.0,21 - 30 years,21 - 30 years,College degree,Man,Advertising,85000.0
18147,25-34,0.8850184083828944,55000.0,1 year or less,1 year or less,Some college,Non-binary,Industry,55000.0
18148,18-24,0.9786544692205069,52000.0,1 year or less,1 year or less,Some college,Woman,Industry,41080.0
18150,35-44,1.6091243788779899,100000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,100000.0
18151,25-34,1.4482119409901908,90000.0,8 - 10 years,8 - 10 years,Some college,Man,Technology & Science,90000.0
18152,35-44,1.8504930357096883,115000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,115000.0
18153,25-34,0.43510723204860846,27040.0,5-7 years,2 - 4 years,College degree,Man,Culture,27040.0
18154,45-54,1.5608506475116501,97000.0,11 - 20 years,8 - 10 years,College degree,Prefer not to answer,Banking & Insurance,97000.0
18155,35-44,2.413686568316985,150000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,150000.0
18156,25-34,2.976880100924281,185000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,185000.0
18158,35-44,1.4643031847789707,91000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,91000.0
18159,35-44,2.494142787260884,155000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Banking & Insurance,155000.0
18160,25-34,1.9309492546535878,120000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,120000.0
18161,35-44,2.8964238819803816,180000.0,11 - 20 years,8 - 10 years,College degree,Man,Education,180000.0
18162,25-34,2.070230607966457,110000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,86900.0
18163,25-34,0.9786544692205069,52000.0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,41080.0
18164,25-34,1.399938209623851,87000.0,5-7 years,2 - 4 years,College degree,Man,Technology & Science,87000.0
18165,35-44,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,160000.0
18166,25-34,1.59303313508921,99000.0,2 - 4 years,2 - 4 years,PhD,Man,Banking & Insurance,99000.0
18167,25-34,0.5631935326072964,35000.0,5-7 years,2 - 4 years,College degree,Woman,Advertising,35000.0
18168,25-34,1.3677557220462913,85000.0,11 - 20 years,5-7 years,Some college,Woman,Technology & Science,85000.0
18169,25-34,1.6895805978218892,105000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,105000.0
18170,25-34,1.5608506475116501,97000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,97000.0
18173,25-34,0.5631935326072964,35000.0,5-7 years,2 - 4 years,College degree,Woman,Advertising,35000.0
18174,25-34,2.976880100924281,185000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,185000.0
18176,45-54,2.197105081965945,160000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Consulting,113600.0
18177,25-34,1.2068432841584924,75000.0,2 - 4 years,2 - 4 years,College degree,Woman,Health,75000.0
18179,25-34,1.2551170155248321,78000.0,5-7 years,5-7 years,Master's degree,Woman,Advertising,78000.0
18180,35-44,2.574599006204784,160000.0,11 - 20 years,8 - 10 years,College degree,Man,Public & Government,160000.0
18181,25-34,0.8045621894389949,50000.0,11 - 20 years,5-7 years,Master's degree,Man,Other,50000.0
18182,35-44,2.403083683400252,175000.0,21 - 30 years,21 - 30 years,High School,Man,Technology & Science,124250.0
18183,45-54,2.823041738136078,150000.0,31 - 40 years,31 - 40 years,Some college,Woman,Banking & Insurance,118500.0
18185,25-34,2.7355114440925825,170000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,170000.0
18186,35-44,0.7723797018614351,48000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,48000.0
18187,25-34,2.413686568316985,150000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,150000.0
18188,25-34,1.898766767076028,118000.0,11 - 20 years,11 - 20 years,College degree,Man,Non profit Organization,118000.0
18189,18-24,1.2068432841584924,75000.0,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,75000.0
18191,35-44,1.8183105481321284,113000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,113000.0
18192,25-34,2.4217321902113746,150500.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,150500.0
18193,35-44,0.8689271645941145,54000.0,2 - 4 years,5-7 years,PhD,Man,Education,54000.0
18194,35-44,3.246440728392793,140000.0,21 - 30 years,21 - 30 years,College degree,Man,Industry,148400.0
18197,35-44,0.9172008959604542,57000.0,8 - 10 years,2 - 4 years,High School,Man,Technology & Science,57000.0
18198,35-44,1.4803944285677506,92000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,92000.0
18199,35-44,2.1723179114852864,135000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,135000.0
18200,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,150000.0
18201,35-44,0.9172008959604542,57000.0,8 - 10 years,2 - 4 years,High School,Man,Technology & Science,57000.0
18202,25-34,0.8367446770165546,52000.0,1 year or less,2 - 4 years,College degree,Man,Technology & Science,52000.0
18203,55-64,47.27272727272727,156000.0,31 - 40 years,31 - 40 years,Master's degree,Woman,Other,156000.0
18204,35-44,0.617903761489148,38400.0,11 - 20 years,2 - 4 years,College degree,Woman,Health,38400.0
18205,25-34,2.8964238819803816,180000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,180000.0
18206,45-54,1.9224669467202018,140000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,99400.0
18208,35-44,2.54073756432247,135000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,106650.0
18209,25-34,1.440166319095801,89500.0,5-7 years,5-7 years,College degree,Woman,Non profit Organization,89500.0
18210,55-64,1.5013130454931645,93300.0,31 - 40 years,21 - 30 years,College degree,Woman,Banking & Insurance,93300.0
18211,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,150000.0
18212,45-54,1.9309492546535878,120000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,120000.0
18213,45-54,1.3194819906799515,82000.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,82000.0
18215,45-54,2.8964238819803816,180000.0,21 - 30 years,8 - 10 years,College degree,Man,Industry,180000.0
18216,45-54,1.5447594037228702,96000.0,31 - 40 years,8 - 10 years,Master's degree,Man,Industry,96000.0
18218,45-54,2.655055225148683,165000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,165000.0
18220,25-34,2.413686568316985,150000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,150000.0
18221,35-44,1.5447594037228702,96000.0,11 - 20 years,8 - 10 years,College degree,Woman,Culture,96000.0
18222,18-24,1.0351153039832286,55000.0,2 - 4 years,2 - 4 years,College degree,Woman,Consulting,43450.0
18223,45-54,1.1263870652145929,70000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,70000.0
18224,35-44,1.1585695527921527,72000.0,21 - 30 years,11 - 20 years,College degree,Woman,Unidentified,72000.0
18225,35-44,1.399938209623851,87000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,87000.0
18226,35-44,1.8551089876530247,80000.0,21 - 30 years,8 - 10 years,High School,Man,Technology & Science,84800.0
18227,25-34,1.3725830951829252,85300.0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Non profit Organization,85300.0
18228,45-54,2.638963981359903,164000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,164000.0
18229,35-44,1.57694189130043,98000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,98000.0
18231,25-34,0.8608815426997245,53500.0,2 - 4 years,2 - 4 years,College degree,Woman,Education,53500.0
18232,25-34,1.1831136228251367,86158.0,2 - 4 years,2 - 4 years,PhD,Man,Technology & Science,61172.18
18233,25-34,1.4803944285677506,92000.0,11 - 20 years,11 - 20 years,Some college,Woman,Technology & Science,92000.0
18234,35-44,1.2068432841584924,75000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,75000.0
18237,25-34,2.1723179114852864,135000.0,5-7 years,2 - 4 years,Master's degree,Man,Technology & Science,135000.0
18238,45-54,2.976880100924281,185000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,185000.0
18239,35-44,2.0918616925413867,130000.0,11 - 20 years,2 - 4 years,PhD,Man,Health,130000.0
18240,35-44,2.413686568316985,150000.0,11 - 20 years,11 - 20 years,Some college,Man,Public & Government,150000.0
18241,25-34,2.2688653742179654,141000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,141000.0
18242,35-44,1.9710532993813388,85000.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,90100.0
18243,25-34,1.1856775300171527,63000.0,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,49770.0
18244,35-44,1.8443872689155707,98000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,77420.0
18246,25-34,2.5585077624160038,159000.0,5-7 years,2 - 4 years,Master's degree,Man,Technology & Science,159000.0
18247,35-44,0.9371540382585413,58240.0,11 - 20 years,8 - 10 years,College degree,Woman,Health,58240.0
18248,25-34,0.8850184083828944,55000.0,11 - 20 years,8 - 10 years,College degree,Woman,Other,55000.0
18249,25-34,1.081331582606009,67200.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,67200.0
18250,35-44,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Man,Advertising,85000.0
18252,25-34,0.6919234829175356,43000.0,5-7 years,2 - 4 years,College degree,Woman,Advertising,43000.0
18253,45-54,2.8964238819803816,180000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,180000.0
18254,35-44,1.6895805978218892,105000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,105000.0
18255,25-34,1.0781133338482531,67000.0,8 - 10 years,8 - 10 years,PhD,Man,Education,67000.0
18256,25-34,1.2609586430341146,67000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,52930.0
18257,25-34,2.7355114440925825,170000.0,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,170000.0
18258,25-34,2.526325274838444,157000.0,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,157000.0
