,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
21304,2,1.0073118611776215,5-7 years,1 year or less,College degree,Consulting,60000.0
21305,1,0.8850184083828944,8 - 10 years,5-7 years,Master's degree,Social,55000.0
21306,0,2.4297778121057645,11 - 20 years,11 - 20 years,Some college,Technology & Science,133000.0
21307,2,0.9654746273267939,5-7 years,5-7 years,High School,Technology & Science,55000.0
21308,0,1.3468371051208774,11 - 20 years,11 - 20 years,College degree,Unidentified,76000.0
21309,3,3.298704976699879,8 - 10 years,2 - 4 years,Master's degree,Other,175000.0
21310,0,1.9470404984423677,8 - 10 years,8 - 10 years,College degree,Technology & Science,117000.0
21311,0,2.413686568316985,21 - 30 years,2 - 4 years,College degree,Unidentified,125000.0
21312,0,1.8344017919209084,11 - 20 years,8 - 10 years,College degree,Industry,110000.0
21313,1,1.399938209623851,21 - 30 years,11 - 20 years,Master's degree,Banking & Insurance,83000.0
21314,0,1.3355732344687314,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,83000.0
21315,2,2.29931802540199,21 - 30 years,21 - 30 years,PhD,Education,88200.0
21316,1,1.4321206972014109,8 - 10 years,5-7 years,Master's degree,Health,89000.0
21317,0,0.949383383538014,11 - 20 years,5-7 years,College degree,Technology & Science,54000.0
21318,3,1.094204577637033,2 - 4 years,2 - 4 years,College degree,Industry,68000.0
21319,0,1.8134831749954945,11 - 20 years,11 - 20 years,College degree,Culture,98000.0
21320,0,1.4703122067196397,11 - 20 years,2 - 4 years,College degree,Technology & Science,50400.0
21321,0,2.1723179114852864,11 - 20 years,8 - 10 years,College degree,Culture,120000.0
21322,3,0.8045621894389949,1 year or less,1 year or less,Master's degree,Non profit Organization,50000.0
21323,0,1.55280502561726,8 - 10 years,5-7 years,Some college,Technology & Science,80500.0
21324,3,1.416029453412631,2 - 4 years,2 - 4 years,Master's degree,Banking & Insurance,80000.0
21325,0,0.702865528693906,11 - 20 years,8 - 10 years,Master's degree,Advertising,43680.0
21326,0,2.7355114440925825,11 - 20 years,8 - 10 years,College degree,Technology & Science,170000.0
21327,3,1.3918925877294612,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,86500.0
21328,1,1.4482119409901908,11 - 20 years,5-7 years,Master's degree,Advertising,90000.0
21329,1,1.8504930357096883,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,105000.0
21330,2,0.6919234829175356,5-7 years,2 - 4 years,College degree,Unidentified,43000.0
21331,4,0.8383538013954327,21 - 30 years,21 - 30 years,Master's degree,Non profit Organization,52000.0
21332,1,1.0250122293452795,11 - 20 years,2 - 4 years,Master's degree,Health,62000.0
21333,0,3.7009860714193765,31 - 40 years,31 - 40 years,College degree,Technology & Science,230000.0
21334,1,1.3194819906799515,11 - 20 years,11 - 20 years,Master's degree,Education,82000.0
21335,2,0.7224968461162175,5-7 years,5-7 years,College degree,Non profit Organization,44900.0
21336,3,0.8689271645941145,2 - 4 years,2 - 4 years,Master's degree,Education,54000.0
21337,1,1.8665842794984682,11 - 20 years,5-7 years,Master's degree,Non profit Organization,112000.0
21338,3,0.8689271645941145,8 - 10 years,2 - 4 years,Master's degree,Non profit Organization,54000.0
21339,0,13.734038498189442,21 - 30 years,21 - 30 years,College degree,Industry,276500.0
21340,2,0.7401972142838753,21 - 30 years,21 - 30 years,College degree,Education,46000.0
21341,3,0.9976571149043537,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,55000.0
21342,0,1.0008753636621097,1 year or less,1 year or less,Unknown,Banking & Insurance,62200.0
21343,0,1.5608506475116501,2 - 4 years,2 - 4 years,College degree,Technology & Science,92000.0
21344,2,1.2609586430341146,5-7 years,2 - 4 years,College degree,Public & Government,52930.0
21345,0,0.28964238819803817,31 - 40 years,8 - 10 years,Some college,Education,18000.0
21346,1,1.0459308462706933,11 - 20 years,11 - 20 years,Master's degree,Education,65000.0
21347,4,3.2021575139671996,8 - 10 years,5-7 years,Master's degree,Technology & Science,164000.0
21348,1,1.4803944285677506,11 - 20 years,11 - 20 years,Master's degree,Education,92000.0
21349,1,1.4124053682037165,11 - 20 years,11 - 20 years,Master's degree,Public & Government,54178.74
21350,1,1.4803944285677506,11 - 20 years,11 - 20 years,Master's degree,Education,92000.0
21351,2,0.949383383538014,8 - 10 years,5-7 years,Some college,Industry,58000.0
21352,0,1.6938250428816466,11 - 20 years,8 - 10 years,College degree,Public & Government,71100.0
21353,0,3.59157613874595,11 - 20 years,5-7 years,College degree,Technology & Science,113760.0
21354,0,4.264179604026673,11 - 20 years,11 - 20 years,Some college,Technology & Science,175000.0
21355,1,1.4964856723565305,11 - 20 years,11 - 20 years,PhD,Non profit Organization,93000.0
21356,3,2.1723179114852864,2 - 4 years,2 - 4 years,College degree,Advertising,120000.0
21357,2,1.1424783090033728,21 - 30 years,5-7 years,College degree,Health,68000.0
21358,2,1.3138960145154228,5-7 years,5-7 years,PhD,Technology & Science,50400.0
21359,2,1.9953142298087074,5-7 years,5-7 years,College degree,Industry,111000.0
21360,0,2.333230349373085,11 - 20 years,11 - 20 years,College degree,Law,105000.0
21361,0,0.752426559563348,8 - 10 years,1 year or less,College degree,Law,45760.0
21362,0,1.5447594037228702,11 - 20 years,11 - 20 years,College degree,Non profit Organization,96000.0
21363,1,0.9172008959604542,11 - 20 years,11 - 20 years,Unknown,Education,57000.0
21364,0,1.1263870652145929,8 - 10 years,5-7 years,Master's degree,Education,70000.0
21365,0,1.1283019232254576,11 - 20 years,2 - 4 years,College degree,Construction,70119.0
21366,0,1.4482119409901908,11 - 20 years,8 - 10 years,Master's degree,Public & Government,90000.0
21367,1,1.8102649262377386,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,109000.0
21368,0,0.788470945650215,21 - 30 years,2 - 4 years,College degree,Law,48000.0
21369,2,0.49882855745217686,11 - 20 years,5-7 years,College degree,Education,31000.0
21370,4,0.7562884580726552,21 - 30 years,8 - 10 years,High School,Other,47000.0
21371,3,0.7804253237558251,5-7 years,2 - 4 years,Master's degree,Non profit Organization,48500.0
21372,0,1.9309492546535878,8 - 10 years,8 - 10 years,College degree,Technology & Science,120000.0
21373,4,2.596721936344578,8 - 10 years,8 - 10 years,Master's degree,Social,79000.0
21374,0,1.6252156226667698,21 - 30 years,11 - 20 years,College degree,Agriculture & Food,81000.0
21375,1,1.0302587123819058,1 year or less,2 - 4 years,Master's degree,Health,39519.9
21376,2,1.737854329188229,5-7 years,5-7 years,Master's degree,Banking & Insurance,90000.0
21377,4,1.5125769161453104,21 - 30 years,21 - 30 years,Master's degree,Education,94000.0
21378,4,1.57694189130043,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,95000.0
21379,2,0.5889395226693442,5-7 years,5-7 years,College degree,Non profit Organization,36000.0
21380,2,1.3677557220462913,5-7 years,5-7 years,College degree,Industry,85000.0
21381,2,0.7241059704950954,21 - 30 years,8 - 10 years,College degree,Non profit Organization,45000.0
21382,1,1.6413068664555497,11 - 20 years,5-7 years,PhD,Health,102000.0
21383,3,0.9654746273267939,2 - 4 years,2 - 4 years,College degree,Advertising,60000.0
21384,4,2.1022336232246763,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,80640.0
21385,0,1.882675523287248,11 - 20 years,8 - 10 years,Master's degree,Public & Government,117000.0
21386,0,2.1723179114852864,31 - 40 years,31 - 40 years,College degree,Health,135000.0
21387,1,1.8504930357096883,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,115000.0
21388,3,1.287299503102392,2 - 4 years,2 - 4 years,College degree,Consulting,79000.0
21389,0,3.7331685589969363,31 - 40 years,31 - 40 years,College degree,Technology & Science,220000.0
21390,4,0.6661774928554878,21 - 30 years,8 - 10 years,Some college,Other,37400.0
21391,0,1.5084030672945223,11 - 20 years,8 - 10 years,College degree,Law,60350.0
21392,0,0.5792847763960763,8 - 10 years,1 year or less,Some college,Non profit Organization,36000.0
21393,4,0.9654746273267939,5-7 years,1 year or less,Master's degree,Technology & Science,60000.0
21394,0,0.6263388603011245,8 - 10 years,1 year or less,College degree,Health,26291.2
21395,3,0.9011096521716743,5-7 years,2 - 4 years,Master's degree,Social,56000.0
21396,0,0.643649751551196,8 - 10 years,8 - 10 years,Some college,Consulting,40000.0
21397,0,1.9792229860199275,8 - 10 years,8 - 10 years,PhD,Education,123000.0
21398,2,1.44916142557652,5-7 years,5-7 years,Master's degree,Public & Government,60830.0
21399,1,1.1987976622641023,11 - 20 years,2 - 4 years,Master's degree,Advertising,72000.0
21400,3,0.8657327996950639,2 - 4 years,2 - 4 years,Some college,Industry,36340.0
21401,0,1.6734893540331093,11 - 20 years,11 - 20 years,College degree,Industry,89000.0
21402,2,1.2068432841584924,5-7 years,2 - 4 years,College degree,Consulting,65000.0
21403,4,1.5205903555521227,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Law,91898.0
21404,2,1.049390463685281,8 - 10 years,5-7 years,College degree,Health,60215.0
21405,0,0.6217334775108777,11 - 20 years,5-7 years,Some college,Industry,37638.0
21406,2,0.7241059704950954,31 - 40 years,31 - 40 years,College degree,Banking & Insurance,44000.0
21407,0,1.287299503102392,11 - 20 years,8 - 10 years,College degree,Human Ressources,80000.0
21408,0,1.2229345279472723,11 - 20 years,11 - 20 years,College degree,Industry,70000.0
21409,3,0.8689271645941145,8 - 10 years,2 - 4 years,Master's degree,Education,54000.0
21410,0,1.5056222603392415,11 - 20 years,8 - 10 years,College degree,Non profit Organization,63200.0
21411,1,1.4916582992198966,11 - 20 years,11 - 20 years,Master's degree,Social,90000.0
21412,1,1.4787853041888726,11 - 20 years,11 - 20 years,College degree,Health,91900.0
21413,2,1.3838469658350712,5-7 years,5-7 years,College degree,Unidentified,81000.0
21414,1,0.9477742591591359,11 - 20 years,5-7 years,Some college,Health,58000.0
21415,2,0.6661774928554878,5-7 years,5-7 years,College degree,Other,36400.0
21416,1,0.6549136222033418,8 - 10 years,11 - 20 years,Master's degree,Other,40700.0
21417,2,0.9976571149043537,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Law,62000.0
21418,1,2.0677248268582167,11 - 20 years,11 - 20 years,Master's degree,Consulting,108500.0
21419,0,2.120259195730894,11 - 20 years,8 - 10 years,College degree,Industry,89000.0
21420,2,1.653858036610798,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,99780.0
21421,0,1.1263870652145929,11 - 20 years,5-7 years,Master's degree,Advertising,70000.0
21422,0,0.9365103885069901,31 - 40 years,21 - 30 years,Unknown,Banking & Insurance,57200.0
21423,0,1.4111216240570532,2 - 4 years,2 - 4 years,College degree,Technology & Science,79695.0
21424,2,1.6091243788779899,5-7 years,5-7 years,Master's degree,Banking & Insurance,95000.0
21425,2,0.8367446770165546,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Education,52000.0
21426,1,1.0539764681650834,5-7 years,1 year or less,Master's degree,Construction,62500.0
21427,2,2.413686568316985,21 - 30 years,21 - 30 years,PhD,Education,150000.0
21428,1,1.3516644782575113,11 - 20 years,11 - 20 years,Master's degree,Public & Government,84000.0
21429,1,0.8367446770165546,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,52000.0
21430,0,1.7691061558986088,8 - 10 years,11 - 20 years,College degree,Public & Government,74260.0
21431,0,1.0057027367987437,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,62500.0
21432,2,0.9830584143319993,5-7 years,2 - 4 years,Some college,Other,41264.86
21433,1,1.2551170155248321,21 - 30 years,11 - 20 years,High School,Banking & Insurance,60000.0
21434,1,1.0459308462706933,11 - 20 years,11 - 20 years,Master's degree,Health,65000.0
21435,1,1.0542982930408589,11 - 20 years,11 - 20 years,College degree,Health,65520.0
21436,3,0.8053667516284339,2 - 4 years,2 - 4 years,College degree,Construction,47050.0
21437,2,0.5631935326072964,2 - 4 years,2 - 4 years,College degree,Education,35000.0
21438,2,2.2527741304291857,8 - 10 years,5-7 years,College degree,Industry,120000.0
21439,0,2.9125151257691617,21 - 30 years,21 - 30 years,College degree,Industry,146000.0
21440,2,1.2953451249967818,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,75000.0
21441,0,1.440166319095801,11 - 20 years,8 - 10 years,Master's degree,Education,88000.0
21442,0,0.7723797018614351,31 - 40 years,8 - 10 years,Some college,Industry,48000.0
21443,2,2.2849566180067455,5-7 years,5-7 years,Master's degree,Industry,90000.0
21444,0,0.46664606987461704,11 - 20 years,2 - 4 years,College degree,Banking & Insurance,28000.0
21445,1,0.7772070749980691,8 - 10 years,11 - 20 years,High School,Unidentified,48000.0
21446,3,0.8868798097979104,2 - 4 years,2 - 4 years,Master's degree,Banking & Insurance,34020.0
21447,0,1.4675214335367266,8 - 10 years,8 - 10 years,College degree,Other,86200.0
21448,3,0.643649751551196,2 - 4 years,2 - 4 years,College degree,Public & Government,40000.0
21449,0,1.757163821734765,11 - 20 years,11 - 20 years,College degree,Technology & Science,109200.0
21450,0,0.643649751551196,2 - 4 years,1 year or less,College degree,Non profit Organization,40000.0
21451,2,1.287299503102392,41 years or more,5-7 years,Some college,Banking & Insurance,72000.0
21452,1,1.0652403388172293,8 - 10 years,2 - 4 years,Some college,Health,65000.0
21453,1,0.8206534332277748,11 - 20 years,11 - 20 years,Master's degree,Culture,50000.0
21454,1,8.126078113333849,11 - 20 years,11 - 20 years,Master's degree,Health,325000.0
21455,1,1.75963523743978,11 - 20 years,11 - 20 years,College degree,Health,67498.2
21456,4,1.0298396024819134,21 - 30 years,21 - 30 years,Some college,Technology & Science,52000.0
21457,4,0.8689271645941145,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,54000.0
21458,0,2.3211619165315,11 - 20 years,11 - 20 years,College degree,Industry,144250.0
21459,0,2.494142787260884,11 - 20 years,2 - 4 years,High School,Technology & Science,115000.0
21460,0,1.5608506475116501,11 - 20 years,11 - 20 years,College degree,Education,97000.0
21461,0,1.1091276612500984,21 - 30 years,8 - 10 years,College degree,Consulting,47700.0
21462,4,1.9229036327591977,21 - 30 years,11 - 20 years,Master's degree,Technology & Science,116000.0
21463,2,2.1240441801189465,5-7 years,5-7 years,College degree,Consulting,102000.0
21464,0,5.9036421623026705,11 - 20 years,11 - 20 years,College degree,Technology & Science,156200.0
21465,0,0.8540324094350248,11 - 20 years,8 - 10 years,Some college,Health,32760.0
21466,4,2.1240441801189465,8 - 10 years,8 - 10 years,Master's degree,Advertising,120000.0
21467,3,1.837955021917286,2 - 4 years,2 - 4 years,Some college,Technology & Science,67150.0
21468,2,2.1723179114852864,5-7 years,2 - 4 years,College degree,Banking & Insurance,120000.0
21469,0,1.0620220900594732,5-7 years,8 - 10 years,College degree,Non profit Organization,63000.0
21470,2,0.8206534332277748,5-7 years,2 - 4 years,College degree,Health,51000.0
21471,4,0.9011096521716743,21 - 30 years,8 - 10 years,Some college,Banking & Insurance,56000.0
21472,3,0.8045621894389949,11 - 20 years,5-7 years,Some college,Banking & Insurance,50000.0
21473,2,0.6806596122653897,8 - 10 years,5-7 years,College degree,Unidentified,42000.0
21474,3,0.8528359208053345,2 - 4 years,2 - 4 years,Some college,Banking & Insurance,53000.0
21475,1,2.8159676630364823,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,140000.0
21476,0,2.775739553564532,8 - 10 years,2 - 4 years,College degree,Technology & Science,172500.0
21477,1,1.705671841610669,21 - 30 years,11 - 20 years,Master's degree,Public & Government,106000.0
21478,0,2.530348085785639,8 - 10 years,8 - 10 years,PhD,Technology & Science,132250.0
21479,0,2.365412836950645,21 - 30 years,8 - 10 years,College degree,Unidentified,137000.0
21480,0,1.6413068664555497,11 - 20 years,8 - 10 years,PhD,Health,97000.0
21481,0,2.1401354239077266,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,123000.0
21482,2,0.7356916660230169,8 - 10 years,5-7 years,College degree,Human Ressources,44720.0
21483,0,1.2233180865256337,5-7 years,2 - 4 years,College degree,Technology & Science,51350.0
21484,2,1.7861280605545686,8 - 10 years,5-7 years,College degree,Health,95000.0
21485,0,3.749259802785716,11 - 20 years,11 - 20 years,College degree,Industry,195000.0
21486,4,1.8344017919209084,21 - 30 years,21 - 30 years,Master's degree,Social,99000.0
21487,0,3.411343683221338,11 - 20 years,8 - 10 years,College degree,Health,155000.0
21488,0,6.919234829175356,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,265000.0
21489,1,0.800850904085591,11 - 20 years,11 - 20 years,College degree,Health,27720.0
21490,2,0.9172008959604542,5-7 years,5-7 years,College degree,Retail,45000.0
21491,0,0.8206534332277748,8 - 10 years,8 - 10 years,College degree,Education,51000.0
21492,1,0.8850184083828944,11 - 20 years,11 - 20 years,Some college,Human Ressources,54000.0
21493,0,1.3666817868985799,8 - 10 years,2 - 4 years,College degree,Social,52424.82
21494,4,1.2551170155248321,21 - 30 years,8 - 10 years,Some college,Public & Government,78000.0
21495,4,1.3054021523647692,21 - 30 years,8 - 10 years,Master's degree,Human Ressources,78625.0
21496,3,0.7158647729879665,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,26460.0
21497,4,1.2847776005670744,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Industry,74200.0
21498,0,1.6005923900660743,11 - 20 years,8 - 10 years,Master's degree,Consulting,91160.0
21499,0,1.1263870652145929,11 - 20 years,2 - 4 years,College degree,Law,60000.0
21500,1,0.7784613047770943,11 - 20 years,5-7 years,Master's degree,Banking & Insurance,47700.0
21501,4,1.399938209623851,21 - 30 years,21 - 30 years,Some college,Technology & Science,87000.0
21502,2,0.5884889678432584,5-7 years,2 - 4 years,College degree,Industry,36322.0
21503,2,3.298704976699879,5-7 years,5-7 years,Master's degree,Banking & Insurance,130000.0
21504,0,2.9446976133467215,8 - 10 years,8 - 10 years,College degree,Technology & Science,183000.0
21505,0,2.2527741304291857,11 - 20 years,11 - 20 years,College degree,Technology & Science,140000.0
21506,0,1.729808707293839,5-7 years,1 year or less,College degree,Technology & Science,100000.0
21507,0,1.9631317422311476,31 - 40 years,21 - 30 years,Some college,Technology & Science,107000.0
21508,1,1.0781133338482531,11 - 20 years,5-7 years,Some college,Retail,65000.0
21509,0,0.985422010886567,8 - 10 years,8 - 10 years,College degree,Culture,37800.0
21510,3,0.8868798097979104,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,34020.0
21511,2,1.1907520403697125,5-7 years,5-7 years,College degree,Public & Government,73000.0
21512,0,6.516953734455859,8 - 10 years,5-7 years,College degree,Technology & Science,235000.0
21513,0,2.8159676630364823,11 - 20 years,5-7 years,College degree,Technology & Science,140000.0
21514,0,2.7033289565150227,21 - 30 years,21 - 30 years,College degree,Advertising,140000.0
21515,3,0.9654746273267939,5-7 years,2 - 4 years,Master's degree,Consulting,60000.0
21516,0,1.3033907468911716,8 - 10 years,8 - 10 years,College degree,Consulting,80000.0
21517,4,1.4321206972014109,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,83000.0
21518,1,0.8447902989109446,11 - 20 years,11 - 20 years,Master's degree,Education,52500.0
21519,2,0.8850184083828944,8 - 10 years,5-7 years,College degree,Agriculture & Food,55000.0
21520,0,1.6895805978218892,11 - 20 years,11 - 20 years,College degree,Industry,100000.0
21521,2,2.389549702633815,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,148000.0
21522,0,1.0964775073515611,11 - 20 years,11 - 20 years,College degree,Human Ressources,39060.0
21523,0,1.1585695527921527,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,72000.0
21524,0,1.1263870652145929,11 - 20 years,11 - 20 years,College degree,Education,70000.0
21525,0,0.5551479107129065,11 - 20 years,1 year or less,College degree,Education,34500.0
21526,4,1.4482119409901908,5-7 years,8 - 10 years,Master's degree,Technology & Science,90000.0
21527,1,1.1357387800805816,8 - 10 years,8 - 10 years,Master's degree,Health,45440.0
21528,0,3.8020390824129144,11 - 20 years,11 - 20 years,College degree,Technology & Science,214800.0
21529,0,3.18606627017842,8 - 10 years,8 - 10 years,College degree,Technology & Science,198000.0
21530,0,1.8344017919209084,21 - 30 years,2 - 4 years,College degree,Banking & Insurance,99000.0
21531,2,1.3738803125595578,8 - 10 years,5-7 years,College degree,Education,57670.0
21532,0,1.8400755061464789,11 - 20 years,11 - 20 years,College degree,Public & Government,95140.0
21533,0,0.949383383538014,11 - 20 years,5-7 years,Some college,Banking & Insurance,54000.0
21534,0,2.188409155274066,2 - 4 years,2 - 4 years,College degree,Technology & Science,136000.0
21535,3,0.8689271645941145,2 - 4 years,2 - 4 years,College degree,Culture,54000.0
21536,0,0.8206534332277748,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,51000.0
21537,0,1.2551170155248321,11 - 20 years,1 year or less,Master's degree,Technology & Science,78000.0
21538,1,0.8623199412673097,11 - 20 years,11 - 20 years,Master's degree,Other,53000.0
21539,0,1.3424337716790546,11 - 20 years,8 - 10 years,College degree,Non profit Organization,51350.0
21540,0,1.7539455729770088,11 - 20 years,8 - 10 years,College degree,Unidentified,94000.0
21541,3,0.9332921397492341,8 - 10 years,2 - 4 years,Some college,Other,58000.0
21542,2,0.6597409953399758,5-7 years,1 year or less,College degree,Public & Government,41000.0
21543,0,0.9641873278236914,8 - 10 years,2 - 4 years,College degree,Technology & Science,49920.0
21544,1,1.59303313508921,11 - 20 years,11 - 20 years,Some college,Education,87000.0
21545,2,1.8504930357096883,21 - 30 years,5-7 years,Some college,Industry,100000.0
21546,2,0.8206534332277748,5-7 years,5-7 years,Master's degree,Non profit Organization,51000.0
21547,4,6.034216420792462,21 - 30 years,21 - 30 years,High School,Banking & Insurance,75000.0
21548,0,1.1263870652145929,21 - 30 years,11 - 20 years,Some college,Banking & Insurance,54000.0
21549,3,0.46664606987461704,2 - 4 years,2 - 4 years,Some college,Human Ressources,29000.0
21550,2,0.8689271645941145,5-7 years,2 - 4 years,College degree,Non profit Organization,54000.0
21551,1,1.1585695527921527,21 - 30 years,11 - 20 years,College degree,Health,72000.0
21552,2,1.3033907468911716,5-7 years,5-7 years,College degree,Health,78000.0
21553,3,1.399938209623851,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,82000.0
21554,2,1.037977851467184,5-7 years,1 year or less,College degree,Education,39816.0
21555,2,0.8045621894389949,5-7 years,5-7 years,College degree,Culture,50000.0
21556,2,1.2068432841584924,8 - 10 years,5-7 years,Master's degree,Education,75000.0
21557,0,0.9729570556885765,11 - 20 years,11 - 20 years,College degree,Education,60465.0
21558,0,2.3010478617955252,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Health,139000.0
21559,1,1.6091243788779899,8 - 10 years,8 - 10 years,Master's degree,Health,98000.0
21560,2,0.7241059704950954,5-7 years,1 year or less,College degree,Banking & Insurance,43000.0
21561,1,0.8640997914574805,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,52700.0
21562,0,1.4964856723565305,2 - 4 years,1 year or less,College degree,Technology & Science,85000.0
21563,1,0.7363353157745681,21 - 30 years,11 - 20 years,Master's degree,Education,45760.0
21564,0,0.6758322391287557,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,42000.0
21565,0,1.9953142298087074,11 - 20 years,11 - 20 years,College degree,Other,109000.0
21566,1,1.2551170155248321,21 - 30 years,2 - 4 years,Master's degree,Health,78000.0
21567,0,0.9815658711155738,11 - 20 years,8 - 10 years,College degree,Technology & Science,61000.0
21568,1,1.6091243788779899,8 - 10 years,11 - 20 years,Some college,Industry,73000.0
21569,1,1.9309492546535878,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Health,120000.0
21570,0,1.0861589557426432,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,66000.0
21571,3,1.287299503102392,5-7 years,2 - 4 years,Master's degree,Human Ressources,72000.0
21572,0,1.327656342524652,31 - 40 years,31 - 40 years,College degree,Industry,79508.0
21573,3,1.1263870652145929,2 - 4 years,2 - 4 years,PhD,Industry,65000.0
21574,3,0.8367446770165546,2 - 4 years,2 - 4 years,College degree,Other,52000.0
21575,4,1.6895805978218892,5-7 years,1 year or less,Master's degree,Technology & Science,105000.0
21576,2,1.0217939805875236,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,63500.0
21577,1,1.6895805978218892,11 - 20 years,2 - 4 years,Master's degree,Unidentified,105000.0
21578,2,2.2527741304291857,5-7 years,5-7 years,Unknown,Health,140000.0
21579,1,1.882675523287248,11 - 20 years,11 - 20 years,Some college,Consulting,101000.0
21580,0,2.0918616925413867,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,130000.0
21581,0,1.228727375711233,11 - 20 years,8 - 10 years,College degree,Public & Government,76360.0
21582,3,0.7723797018614351,2 - 4 years,2 - 4 years,Master's degree,Education,48000.0
21583,0,2.0918616925413867,8 - 10 years,2 - 4 years,College degree,Technology & Science,130000.0
21584,4,0.5792847763960763,21 - 30 years,21 - 30 years,Master's degree,Retail,36000.0
21585,0,1.0620220900594732,2 - 4 years,2 - 4 years,College degree,Technology & Science,66000.0
21586,0,0.728965526119307,8 - 10 years,8 - 10 years,College degree,Health,45302.0
21587,3,1.4482119409901908,8 - 10 years,2 - 4 years,Master's degree,Consulting,85000.0
21588,2,1.0861589557426432,8 - 10 years,5-7 years,College degree,Banking & Insurance,62500.0
21589,3,0.5910635668494633,2 - 4 years,2 - 4 years,College degree,Culture,36732.0
21590,4,1.6091243788779899,21 - 30 years,21 - 30 years,Master's degree,Unidentified,94000.0
21591,1,1.6882521011908487,11 - 20 years,8 - 10 years,Master's degree,Health,64260.0
21592,0,1.4303411473222793,11 - 20 years,5-7 years,College degree,Other,60040.0
21593,4,1.287299503102392,8 - 10 years,8 - 10 years,College degree,Non profit Organization,80000.0
21594,2,0.6597409953399758,5-7 years,5-7 years,College degree,Health,38000.0
21595,3,0.9321657526840195,8 - 10 years,2 - 4 years,Master's degree,Banking & Insurance,57630.0
21596,1,0.9332921397492341,21 - 30 years,5-7 years,Some college,Health,58000.0
21597,3,0.6275585077624161,2 - 4 years,2 - 4 years,College degree,Health,39000.0
21598,2,0.7080147267063155,8 - 10 years,5-7 years,College degree,Unidentified,43000.0
21599,2,1.1987976622641023,5-7 years,5-7 years,College degree,Retail,69500.0
21600,0,2.1126596150181056,11 - 20 years,11 - 20 years,College degree,Technology & Science,80975.0
21601,0,1.399938209623851,21 - 30 years,21 - 30 years,College degree,Public & Government,87000.0
21602,1,1.267990010555856,11 - 20 years,11 - 20 years,College degree,Health,73800.0
21603,0,1.0137483586931335,21 - 30 years,11 - 20 years,College degree,Industry,60000.0
21604,1,0.8689271645941145,5-7 years,1 year or less,Some college,Health,54000.0
21605,0,1.5056222603392415,5-7 years,8 - 10 years,College degree,Health,63200.0
21606,0,2.494142787260884,1 year or less,1 year or less,PhD,Other,130000.0
21607,2,1.0241566609491137,5-7 years,1 year or less,College degree,Banking & Insurance,40290.0
21608,4,1.0620220900594732,21 - 30 years,5-7 years,Master's degree,Banking & Insurance,61000.0
21609,0,1.3138960145154228,8 - 10 years,8 - 10 years,College degree,Advertising,50400.0
21610,0,2.9044695038747714,11 - 20 years,5-7 years,Master's degree,Technology & Science,136500.0
21611,0,1.270403697124173,11 - 20 years,2 - 4 years,Some college,Other,76650.0
21612,0,0.6561526479750779,21 - 30 years,2 - 4 years,College degree,Banking & Insurance,39832.0
21613,1,2.2112748126979223,21 - 30 years,11 - 20 years,Master's degree,Banking & Insurance,137421.0
21614,2,0.8528359208053345,5-7 years,2 - 4 years,College degree,Banking & Insurance,50000.0
21615,1,1.970844021773134,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,75600.0
21616,2,1.57694189130043,1 year or less,5-7 years,College degree,Health,98000.0
