,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
23646,2,11 - 20 years,11 - 20 years,Master's degree,Health,very well payed
23647,3,8 - 10 years,8 - 10 years,Master's degree,Advertising,well payed
23648,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
23649,2,21 - 30 years,11 - 20 years,Master's degree,Education,very well payed
23650,3,8 - 10 years,8 - 10 years,Master's degree,Public & Government,well payed
23651,0,8 - 10 years,5-7 years,Master's degree,Education,well payed
23652,3,11 - 20 years,8 - 10 years,Some college,Banking & Insurance,bad payed
23653,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,well payed
23654,3,11 - 20 years,8 - 10 years,Master's degree,Health,well payed
23655,1,11 - 20 years,2 - 4 years,Some college,Health,well payed
23656,1,11 - 20 years,11 - 20 years,College degree,Advertising,very well payed
23657,4,2 - 4 years,2 - 4 years,High School,Industry,well payed
23658,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
23659,1,21 - 30 years,21 - 30 years,College degree,Health,well payed
23660,0,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Health,well payed
23661,4,2 - 4 years,2 - 4 years,Master's degree,Public & Government,bad payed
23662,4,8 - 10 years,2 - 4 years,College degree,Technology & Science,bad payed
23663,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
23664,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
23665,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
23666,0,5-7 years,5-7 years,College degree,Banking & Insurance,bad payed
23667,1,11 - 20 years,5-7 years,College degree,Advertising,well payed
23668,1,21 - 30 years,11 - 20 years,High School,Technology & Science,very well payed
23669,0,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
23670,1,11 - 20 years,11 - 20 years,College degree,Health,bad payed
23671,4,8 - 10 years,5-7 years,College degree,Law,bad payed
23672,1,11 - 20 years,5-7 years,College degree,Health,well payed
23673,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,very well payed
23674,1,11 - 20 years,2 - 4 years,College degree,Health,well payed
23675,1,11 - 20 years,11 - 20 years,Master's degree,Culture,well payed
23676,1,11 - 20 years,11 - 20 years,Master's degree,Unidentified,well payed
23677,2,11 - 20 years,2 - 4 years,Master's degree,Technology & Science,very well payed
23678,3,8 - 10 years,8 - 10 years,College degree,Health,very well payed
23679,3,8 - 10 years,2 - 4 years,PhD,Education,well payed
23680,1,11 - 20 years,8 - 10 years,College degree,Other,well payed
23681,0,5-7 years,5-7 years,College degree,Advertising,well payed
23682,4,21 - 30 years,5-7 years,College degree,Other,bad payed
23683,2,8 - 10 years,2 - 4 years,PhD,Health,very well payed
23684,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,well payed
23685,0,5-7 years,5-7 years,Master's degree,Technology & Science,well payed
23686,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
23687,1,21 - 30 years,8 - 10 years,College degree,Industry,very well payed
23688,1,11 - 20 years,11 - 20 years,Some college,Industry,well payed
23689,0,5-7 years,5-7 years,Master's degree,Education,bad payed
23690,0,8 - 10 years,5-7 years,Master's degree,Education,well payed
23691,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
23692,1,1 year or less,1 year or less,College degree,Technology & Science,well payed
23693,3,8 - 10 years,8 - 10 years,Master's degree,Culture,well payed
23694,3,8 - 10 years,5-7 years,Master's degree,Banking & Insurance,well payed
23695,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
23696,1,11 - 20 years,11 - 20 years,High School,Unidentified,very well payed
23697,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
23698,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
23699,1,11 - 20 years,8 - 10 years,PhD,Education,well payed
23700,0,5-7 years,5-7 years,Some college,Health,bad payed
23701,3,8 - 10 years,8 - 10 years,Master's degree,Public & Government,well payed
23702,1,21 - 30 years,11 - 20 years,College degree,Human Ressources,very well payed
23703,0,21 - 30 years,21 - 30 years,Master's degree,Non profit Organization,well payed
23704,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Health,very well payed
23705,0,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,well payed
23706,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,well payed
23707,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
23708,1,11 - 20 years,11 - 20 years,Master's degree,Other,well payed
23709,0,5-7 years,5-7 years,College degree,Unidentified,very well payed
23710,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
23711,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
23712,0,21 - 30 years,2 - 4 years,Master's degree,Non profit Organization,well payed
23713,0,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,very well payed
23714,1,11 - 20 years,2 - 4 years,College degree,Technology & Science,well payed
23715,1,11 - 20 years,11 - 20 years,Master's degree,Security & Defense,well payed
23716,3,8 - 10 years,8 - 10 years,College degree,Other,very well payed
23717,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
23718,0,5-7 years,5-7 years,Some college,Health,bad payed
23719,0,5-7 years,2 - 4 years,College degree,Other,well payed
23720,0,5-7 years,5-7 years,College degree,Advertising,well payed
23721,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,well payed
23722,2,31 - 40 years,31 - 40 years,PhD,Technology & Science,very well payed
23723,4,2 - 4 years,2 - 4 years,Master's degree,Education,very bad payed 
23724,4,8 - 10 years,5-7 years,College degree,Culture,bad payed
23725,2,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
23726,1,11 - 20 years,8 - 10 years,College degree,Culture,well payed
23727,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
23728,0,8 - 10 years,5-7 years,Some college,Technology & Science,well payed
23729,2,5-7 years,5-7 years,PhD,Technology & Science,very well payed
23730,0,11 - 20 years,5-7 years,Master's degree,Education,well payed
23731,3,8 - 10 years,1 year or less,Master's degree,Health,well payed
23732,0,2 - 4 years,2 - 4 years,Master's degree,Technology & Science,well payed
23733,1,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,well payed
23734,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
23735,4,2 - 4 years,1 year or less,Unknown,Social,bad payed
23736,0,5-7 years,5-7 years,College degree,Banking & Insurance,very well payed
23737,1,21 - 30 years,11 - 20 years,Some college,Health,very well payed
23738,3,11 - 20 years,8 - 10 years,Master's degree,Advertising,well payed
23739,4,8 - 10 years,8 - 10 years,College degree,Education,bad payed
23740,4,2 - 4 years,2 - 4 years,Master's degree,Health,bad payed
23741,1,11 - 20 years,11 - 20 years,College degree,Unidentified,very well payed
23742,0,5-7 years,5-7 years,College degree,Industry,bad payed
23743,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
23744,1,11 - 20 years,8 - 10 years,College degree,Other,well payed
23745,1,11 - 20 years,11 - 20 years,College degree,Other,very well payed
23746,4,8 - 10 years,2 - 4 years,College degree,Education,bad payed
23747,0,11 - 20 years,5-7 years,Some college,Unidentified,well payed
23748,1,11 - 20 years,8 - 10 years,College degree,Advertising,well payed
23749,3,8 - 10 years,8 - 10 years,College degree,Consulting,very well payed
23750,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
23751,1,11 - 20 years,21 - 30 years,High School,Unidentified,bad payed
23752,4,5-7 years,5-7 years,College degree,Education,bad payed
23753,0,8 - 10 years,5-7 years,College degree,Culture,well payed
23754,1,21 - 30 years,21 - 30 years,College degree,Other,very bad payed 
23755,4,2 - 4 years,2 - 4 years,College degree,Unidentified,bad payed
23756,1,21 - 30 years,11 - 20 years,PhD,Education,well payed
23757,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
23758,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
23759,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
23760,0,5-7 years,5-7 years,Master's degree,Education,bad payed
23761,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
23762,0,8 - 10 years,5-7 years,College degree,Non profit Organization,bad payed
23763,0,5-7 years,5-7 years,College degree,Education,very bad payed 
23764,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
23765,0,2 - 4 years,2 - 4 years,Master's degree,Law,well payed
23766,4,8 - 10 years,5-7 years,College degree,Advertising,bad payed
23767,0,8 - 10 years,5-7 years,College degree,Human Ressources,well payed
23768,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
23769,0,5-7 years,5-7 years,College degree,Health,well payed
23770,4,2 - 4 years,2 - 4 years,Master's degree,Law,bad payed
23771,3,11 - 20 years,8 - 10 years,Master's degree,Other,well payed
23772,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,well payed
23773,0,8 - 10 years,5-7 years,Some college,Advertising,bad payed
23774,2,21 - 30 years,2 - 4 years,Master's degree,Consulting,very well payed
23775,0,5-7 years,5-7 years,College degree,Advertising,well payed
23776,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
23777,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
23778,3,8 - 10 years,8 - 10 years,College degree,Culture,well payed
23779,1,8 - 10 years,5-7 years,College degree,Technology & Science,bad payed
23780,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
23781,1,11 - 20 years,11 - 20 years,College degree,Health,well payed
23782,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,well payed
23783,4,2 - 4 years,1 year or less,College degree,Industry,bad payed
23784,1,11 - 20 years,8 - 10 years,College degree,Culture,very well payed
23785,4,2 - 4 years,2 - 4 years,College degree,Culture,bad payed
23786,0,5-7 years,5-7 years,College degree,Advertising,well payed
23787,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
23788,1,11 - 20 years,8 - 10 years,College degree,Advertising,well payed
23789,0,5-7 years,8 - 10 years,College degree,Health,well payed
23790,1,11 - 20 years,8 - 10 years,College degree,Advertising,very well payed
23791,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
23792,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
23793,4,2 - 4 years,2 - 4 years,Some college,Industry,bad payed
23794,4,5-7 years,5-7 years,College degree,Education,bad payed
23795,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
23796,1,11 - 20 years,11 - 20 years,High School,Health,very bad payed 
23797,0,5-7 years,5-7 years,College degree,Public & Government,very bad payed 
23798,0,5-7 years,2 - 4 years,College degree,Culture,well payed
23799,0,5-7 years,5-7 years,Master's degree,Non profit Organization,well payed
23800,3,8 - 10 years,1 year or less,Master's degree,Other,bad payed
23801,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
23802,2,8 - 10 years,5-7 years,Master's degree,Technology & Science,very well payed
23803,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
23804,0,31 - 40 years,21 - 30 years,Master's degree,Retail,well payed
23805,4,5-7 years,2 - 4 years,College degree,Advertising,bad payed
23806,3,8 - 10 years,8 - 10 years,College degree,Industry,well payed
23807,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
23808,0,11 - 20 years,5-7 years,Master's degree,Construction,well payed
23809,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
23810,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
23811,1,21 - 30 years,11 - 20 years,Some college,Retail,very bad payed 
23812,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
23813,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
23814,4,5-7 years,2 - 4 years,Master's degree,Education,bad payed
23815,1,11 - 20 years,2 - 4 years,College degree,Health,very well payed
23816,4,11 - 20 years,2 - 4 years,College degree,Human Ressources,bad payed
23817,2,5-7 years,5-7 years,College degree,Technology & Science,very well payed
23818,0,5-7 years,2 - 4 years,College degree,Culture,well payed
23819,1,21 - 30 years,5-7 years,College degree,Technology & Science,well payed
23820,1,31 - 40 years,21 - 30 years,College degree,Technology & Science,bad payed
23821,0,8 - 10 years,5-7 years,Master's degree,Health,bad payed
23822,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
23823,1,11 - 20 years,8 - 10 years,PhD,Education,well payed
23824,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,very well payed
23825,0,5-7 years,5-7 years,College degree,Advertising,bad payed
23826,1,8 - 10 years,2 - 4 years,College degree,Industry,well payed
23827,0,8 - 10 years,5-7 years,College degree,Non profit Organization,bad payed
23828,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
23829,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
23830,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
23831,1,11 - 20 years,8 - 10 years,College degree,Other,well payed
23832,0,5-7 years,5-7 years,College degree,Industry,well payed
23833,1,31 - 40 years,21 - 30 years,College degree,Education,well payed
23834,3,8 - 10 years,1 year or less,High School,Unidentified,bad payed
23835,4,11 - 20 years,8 - 10 years,College degree,Education,bad payed
23836,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
23837,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
23838,1,1 year or less,1 year or less,College degree,Health,well payed
23839,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
23840,0,8 - 10 years,5-7 years,Master's degree,Unidentified,bad payed
23841,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
23842,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
23843,3,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,well payed
23844,0,8 - 10 years,5-7 years,College degree,Education,well payed
23845,4,1 year or less,1 year or less,College degree,Consulting,bad payed
23846,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
23847,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
23848,0,5-7 years,5-7 years,College degree,Advertising,well payed
23849,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
23850,1,11 - 20 years,11 - 20 years,Master's degree,Human Ressources,well payed
23851,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
23852,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
23853,0,5-7 years,5-7 years,High School,Banking & Insurance,well payed
23854,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
23855,3,8 - 10 years,8 - 10 years,Master's degree,Advertising,bad payed
23856,1,11 - 20 years,11 - 20 years,Master's degree,Consulting,well payed
23857,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
23858,1,21 - 30 years,11 - 20 years,College degree,Advertising,well payed
23859,1,11 - 20 years,11 - 20 years,Some college,Other,bad payed
23860,4,2 - 4 years,2 - 4 years,College degree,Law,bad payed
23861,4,2 - 4 years,1 year or less,College degree,Technology & Science,bad payed
23862,4,2 - 4 years,1 year or less,College degree,Technology & Science,bad payed
23863,3,8 - 10 years,8 - 10 years,College degree,Human Ressources,well payed
23864,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
23865,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
23866,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
23867,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
23868,3,8 - 10 years,8 - 10 years,College degree,Retail,very well payed
23869,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
23870,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
23871,1,11 - 20 years,11 - 20 years,Master's degree,Other,well payed
23872,4,11 - 20 years,5-7 years,College degree,Education,bad payed
23873,3,8 - 10 years,8 - 10 years,College degree,Health,bad payed
23874,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Health,well payed
23875,0,5-7 years,5-7 years,College degree,Public & Government,bad payed
23876,0,5-7 years,5-7 years,Master's degree,Technology & Science,well payed
23877,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
23878,3,8 - 10 years,8 - 10 years,College degree,Advertising,very well payed
23879,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
23880,4,21 - 30 years,2 - 4 years,High School,Public & Government,bad payed
23881,4,1 year or less,1 year or less,College degree,Industry,bad payed
23882,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
23883,0,5-7 years,5-7 years,College degree,Human Ressources,very well payed
23884,1,11 - 20 years,8 - 10 years,College degree,Human Ressources,very well payed
23885,2,11 - 20 years,8 - 10 years,PhD,Industry,very well payed
23886,3,8 - 10 years,8 - 10 years,College degree,Health,bad payed
23887,4,5-7 years,2 - 4 years,Master's degree,Education,bad payed
23888,0,21 - 30 years,21 - 30 years,College degree,Non profit Organization,well payed
23889,3,21 - 30 years,8 - 10 years,Some college,Banking & Insurance,bad payed
23890,1,11 - 20 years,11 - 20 years,College degree,Health,well payed
23891,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
23892,0,31 - 40 years,21 - 30 years,High School,Law,well payed
23893,0,5-7 years,5-7 years,Master's degree,Non profit Organization,bad payed
23894,1,11 - 20 years,1 year or less,Some college,Technology & Science,well payed
23895,2,11 - 20 years,11 - 20 years,Master's degree,Unidentified,very well payed
23896,1,21 - 30 years,11 - 20 years,College degree,Industry,well payed
23897,3,8 - 10 years,8 - 10 years,Master's degree,Banking & Insurance,well payed
23898,3,8 - 10 years,8 - 10 years,College degree,Public & Government,well payed
23899,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
23900,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
23901,4,1 year or less,1 year or less,College degree,Banking & Insurance,bad payed
23902,1,11 - 20 years,8 - 10 years,College degree,Health,bad payed
23903,1,5-7 years,2 - 4 years,College degree,Technology & Science,very well payed
23904,1,21 - 30 years,11 - 20 years,College degree,Agriculture & Food,well payed
23905,3,11 - 20 years,8 - 10 years,Master's degree,Unidentified,well payed
23906,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
23907,3,8 - 10 years,8 - 10 years,High School,Education,bad payed
23908,4,5-7 years,1 year or less,College degree,Education,bad payed
23909,3,8 - 10 years,8 - 10 years,Master's degree,Social,well payed
23910,3,8 - 10 years,2 - 4 years,Master's degree,Consulting,well payed
23911,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
23912,0,5-7 years,5-7 years,Master's degree,Culture,well payed
23913,0,5-7 years,5-7 years,College degree,Advertising,bad payed
23914,0,5-7 years,2 - 4 years,Master's degree,Consulting,well payed
23915,1,11 - 20 years,2 - 4 years,College degree,Technology & Science,well payed
23916,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
23917,1,2 - 4 years,1 year or less,College degree,Technology & Science,well payed
23918,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
23919,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
23920,0,5-7 years,2 - 4 years,PhD,Industry,very well payed
23921,0,2 - 4 years,1 year or less,Master's degree,Industry,well payed
23922,4,2 - 4 years,2 - 4 years,Master's degree,Unidentified,bad payed
23923,2,2 - 4 years,2 - 4 years,Master's degree,Health,very well payed
23924,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,very well payed
23925,1,21 - 30 years,11 - 20 years,Some college,Health,bad payed
23926,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
23927,3,8 - 10 years,2 - 4 years,Master's degree,Technology & Science,well payed
23928,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
23929,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,well payed
23930,1,11 - 20 years,5-7 years,College degree,Advertising,well payed
23931,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
23932,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
23933,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
23934,4,2 - 4 years,2 - 4 years,College degree,Industry,bad payed
23935,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
23936,0,5-7 years,5-7 years,College degree,Advertising,well payed
23937,1,2 - 4 years,1 year or less,College degree,Consulting,well payed
23938,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
23939,1,11 - 20 years,8 - 10 years,College degree,Health,well payed
23940,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
23941,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non profit Organization,well payed
23942,1,11 - 20 years,11 - 20 years,High School,Technology & Science,very bad payed 
23943,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,bad payed
23944,0,8 - 10 years,5-7 years,Master's degree,Public & Government,bad payed
23945,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Banking & Insurance,very well payed
23946,4,8 - 10 years,2 - 4 years,College degree,Health,very well payed
23947,0,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,well payed
23948,4,2 - 4 years,2 - 4 years,PhD,Technology & Science,very bad payed 
23949,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,well payed
23950,1,11 - 20 years,11 - 20 years,College degree,Consulting,very well payed
23951,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
23952,2,31 - 40 years,21 - 30 years,Master's degree,Health,very well payed
23953,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,bad payed
23954,0,5-7 years,2 - 4 years,Master's degree,Public & Government,bad payed
23955,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Health,well payed
23956,0,5-7 years,5-7 years,College degree,Consulting,bad payed
23957,3,8 - 10 years,5-7 years,Master's degree,Banking & Insurance,well payed
23958,4,11 - 20 years,2 - 4 years,College degree,Education,very bad payed 
23959,0,5-7 years,5-7 years,College degree,Unidentified,well payed
23960,2,11 - 20 years,5-7 years,PhD,Unidentified,very well payed
23961,0,8 - 10 years,5-7 years,College degree,Consulting,well payed
23962,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
23963,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
23964,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,bad payed
23965,0,5-7 years,2 - 4 years,College degree,Industry,well payed
23966,4,2 - 4 years,2 - 4 years,College degree,Consulting,very well payed
23967,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
23968,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
23969,0,8 - 10 years,5-7 years,Some college,Agriculture & Food,bad payed
23970,1,11 - 20 years,11 - 20 years,College degree,Construction,well payed
23971,0,5-7 years,5-7 years,Master's degree,Non profit Organization,bad payed
23972,4,11 - 20 years,8 - 10 years,PhD,Education,bad payed
23973,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
23974,3,2 - 4 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
23975,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
23976,4,8 - 10 years,2 - 4 years,Master's degree,Education,bad payed
23977,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
23978,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,very bad payed 
23979,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,bad payed
23980,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
23981,0,5-7 years,5-7 years,College degree,Other,well payed
23982,4,2 - 4 years,2 - 4 years,College degree,Advertising,well payed
23983,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
23984,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
23985,1,11 - 20 years,11 - 20 years,College degree,Other,well payed
23986,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
23987,4,2 - 4 years,2 - 4 years,College degree,Industry,very well payed
23988,0,5-7 years,5-7 years,College degree,Education,well payed
23989,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
23990,0,11 - 20 years,5-7 years,Some college,Banking & Insurance,well payed
23991,1,11 - 20 years,11 - 20 years,Some college,Health,bad payed
23992,4,11 - 20 years,2 - 4 years,College degree,Education,bad payed
23993,3,8 - 10 years,8 - 10 years,College degree,Industry,bad payed
23994,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,bad payed
23995,3,11 - 20 years,8 - 10 years,Some college,Banking & Insurance,bad payed
23996,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
23997,1,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,bad payed
23998,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
23999,3,8 - 10 years,8 - 10 years,PhD,Health,well payed
24000,2,11 - 20 years,5-7 years,Master's degree,Non profit Organization,very well payed
24001,4,2 - 4 years,2 - 4 years,College degree,Unidentified,bad payed
24002,1,11 - 20 years,8 - 10 years,College degree,Unidentified,well payed
24003,1,21 - 30 years,21 - 30 years,College degree,Culture,well payed
24004,2,11 - 20 years,5-7 years,Master's degree,Banking & Insurance,bad payed
24005,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,very well payed
24006,0,5-7 years,5-7 years,College degree,Unidentified,bad payed
24007,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24008,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,bad payed
24009,4,8 - 10 years,2 - 4 years,Some college,Industry,bad payed
24010,1,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,well payed
24011,3,31 - 40 years,8 - 10 years,Some college,Health,well payed
24012,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
24013,2,11 - 20 years,5-7 years,Master's degree,Technology & Science,well payed
24014,3,8 - 10 years,8 - 10 years,College degree,Culture,well payed
24015,1,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,well payed
24016,2,21 - 30 years,21 - 30 years,Master's degree,Education,very well payed
24017,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
24018,0,8 - 10 years,5-7 years,College degree,Non profit Organization,bad payed
24019,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24020,0,21 - 30 years,21 - 30 years,Master's degree,Industry,well payed
24021,1,11 - 20 years,11 - 20 years,High School,Other,well payed
24022,0,5-7 years,5-7 years,PhD,Education,well payed
24023,4,5-7 years,2 - 4 years,Some college,Unidentified,bad payed
24024,1,8 - 10 years,2 - 4 years,College degree,Law,well payed
24025,0,21 - 30 years,5-7 years,College degree,Non profit Organization,bad payed
24026,0,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
24027,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
24028,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
24029,0,8 - 10 years,5-7 years,College degree,Human Ressources,well payed
24030,4,8 - 10 years,1 year or less,College degree,Human Ressources,bad payed
24031,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
24032,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
24033,3,11 - 20 years,8 - 10 years,Master's degree,Culture,well payed
24034,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,very bad payed 
24035,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,bad payed
24036,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
24037,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
24038,2,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Technology & Science,very well payed
24039,4,5-7 years,2 - 4 years,College degree,Culture,bad payed
